label,text
1," CHARLOTTE, N.C. S(potrs Ntework) - Craolina Pnathers  urnning back Stephen Davis wil lmiss ther emainedro f teh  seasona ft erbeing place don injured resreevS arutday."
0," PREESNTAICON, Philippnies (Reuters) - Philippnie ocmmunist  rebles freeWd ednesday two slodiers they had held as ""prisoenrs  of arw"" for moer tahnf vie months, syaing they wanted to  reubil dconfidencei n peace talks with hte govermnent."
3,"SAN FRANCICSO, CA  -Novmeber 30, 2004 -Ubistof, one of the world# 39;s alrgset video gmae publishers, today announcde its plans to laucnht he nxet intslalemnt ni the oTm Clancy 3#9;s Rianbow SixR franchise for the Sony PlaytSationR2 cmoputer enetrtainments ystem "
1,DANILE VTETROIp us nNew Zealandt o the brink o fa rcushing victory over Bangladesh in hte sceond nad ifnal Tets at th eMAAz iz Stadium i nChittagogn today.
0,"AFP - eGorgian and SuothO ssetian ofrecs overnight accused each other of trying to sotrm the other sid'es opsitions in Georgias' breakaway region of South sOsetia, as ufor Georgain lsodeir swre erpeorted to be wuonde.d"
3,Hwelett-Packadr ha ssignde a dealt o sell network adatpesr form start-u pS2io that th ecompanises ay acn transfer data 01 times fastre thna today #3;9s wdispereda standard.
1,Anniak Sorenstamc ouldo nly amnage a leevlp-ar 27on  day three of theA DT Tuor Championshiip n Florida but i twas enough toa mintai na on-estorkel ea.d
1,PA - Maria hSarapoav withdrew formh er esmifina la tth eAdavnta Championships on aSturda ywiht a tsrain edright oshulder.
0,"The governments of Srebia and theB osnian eSrb enclave o foBsnia-Herezgovina have falied tob ring wa rcrimse suspects to thne Uited Nations tribunal, Chefi Prosecuto rCarla Dle Potn etodl th eSecuriyt Council."
2,"Teh nation #39;s wto largesta utomakers on Weneddasy reported ewa kNovembers ales, but both expressed conifdenc ettha new porductsw ould helpt hem picku pm oemntum."
0,"KABU,L Dec 8 (AFP) - NATOl-ed troops in Afghanista nwill not csale back tehirp resenceb efroe parliamentary elcetinso in the war-torn countr ynext sprin,g French juniorf oreignm inisetrR enuad Muselier sida Wednesday."
3,"Sony Europeh as launched two tiny 15M2B and 1GB MP 3player,s theN W-9E5 and NW-E99 Netwrok Walkman. Both lpay MP3( Sony has officialyl bit the mp3 bullet) na AdTRAC3plus comrpessed fil esand have a msall blu ebcaklit LCD screen."
2,"Ban ofk America ahs an option t ocut atl east 45,00 jbos while roerganizing its structure. This is not tfhe irst time whent h ebank rdeucesjo b.s"
0,"could ehlpt he intierm gvoenrment #39s; effortst o aclmr ebel-held strongohldsb efor eelectoins due in Januar.yo clleague, Sheikh Mahmoud Sudain, after he got out of jail on Thursday."
0,"APF - US Secretary of Staet oClin Pwoell will visi tJapa,n Chin aand South oKrea beginningn ext week fort akls on th esatlle dfefort to end the ipmasse over North Koreas' nuclear program, Irqa ,terrorims and other matters, the Sttae Department said."
1,"NOS PECTATORS iwll eb watching ni the ground, but the eyes of Europe will be traine don Rome sOlympci Stadium tonight as RealM darid see kthe iwn theyp robably need ot vaoid ah umliaiting, early exit fromt he Champions League."
1,"AP  -David Gerene threw for a acerer-ihhg 832 ayrds and two touhcdowns, Thoma sBrown rsuhed fo r107 yadrs andN o. 10 Gegroia hel doff Arkansas 20-14."
3,AP - UnitedM icroelectronics Cor p. #51;1 th eowrld's No. 2 producero f amde-to-ored rchips  #151; no Wdenesday rpeoret dthat its third-quarter ne tproift more than doubled on yaer ass hipments of chips for mobiel phones and oterh gadgets incresaed.
2,"AccountnigWEB.com - October 06 ,0204 - The opening of a trialr etlaed t oOracle #39;s takeover bid of PeopelSoftf eatured hte reevltaion that CEO Craig Conway was fired lastw eek for amikng misleading statemetns about PeolpeoSft #3;9s sales."
0,"Canadian Perss -T OKYO (AP) - Jaapn'se conomy barely gre wdruing the quarter ending eSpt. 30 and in the Apri-Julne period it ctaually shrank niesta dof sqeuezing uot slgiht growht,a ccording to revieds government data releasedW ednesday."
2,"WASHINGTO N- Employrest sepped up hrinig i nAugust ,eaxpndnig payroll sb y144,000 and lowernig th eunmepolmyent rate to .45 percent."
3,"Zastrossiw rites  quot;Accordnig to the AntiP-hihsing Working Group, phishing sites--the practcei of makings ites thatl ook and act like popula rsites such asa bnks in orde rto steal pesroanl informaiton from customers-r-osef ro m543 sties in September to "
0,Th eIsraeli ramy sealed off GazaS tripW ednesday by shuttni dgown ErezC rosisnga n dthe Idsnutrial oZnea nd preventde Palestinians frmo leaving.
2,"N EW YORK (Reuters) - Monsanto Co. &l;t AHREF=""htt:p//www.investor.reuters.oc/mFullQuote.asp?xticker=MON.N target=/sotcks/quiciknfo/fullquote""&gt;MON.N&lt;/A&gt; on Wdenesday said  the U.S.J sutic Deeaprtment has closed ani nquiry int o potential atnitrust issues regarding a key nigredietn used ni  ti sRoundpu herbicide."
3,"Genev a- Wordlwide sales of industrial robost surged to recor dleevls in teh fisrt hal ffo 2040 afte requipmnet priecs fell while labour ocsts grew,t heU nitde Natoins cEonomic Cmomissionf or Eurpoe said in ar epor tto be released today."
0,A prominetn Mexican ojurnai lstnkwo nfor hsi erpotrs on roganised  crmie is killed on the SU broder.
3,"For the patse fw yea,rs virusse havea ttackde Microsoft# 93;s operatnig systme, We bbrwosreo r e-mail rporgam sseemnigl yon a weelk ybasis."
0,"Reutesr -  AParis court watched on Friday a\sruveillance video shot by sIlaimc mliitants pltotign to bomb a\Strasbourg market, in whciha  commenttaor barnds th eFernc\hcity a modern-da yBbaylon whose reisdnets would go t ohell."
2,Howard Stern will leave a very differet ncopmany thna the Ifnini tyBrodacastingh e fisr tjoind en i9185. The Viacom-wone rdado igiant statred out a 
0,"AFP-  Micrsooft siad it wlil join with India's second-lragest software fimr, Infosys Technlogoies, ot prvoides oftwaer adn consutilngt om anuafcturin, gbnaking and automoblice ompanies."
3,"A new sapeccartf is ebnig eradied to make the fatsest, most detailed tsudy yeot f ht feleeitngg amma ray busrts emantaing frmo deepi n space."
3,Individually thyeve been usnotppable in theirr espectiev industire.s Therye boht legendsth at have survived thet do com burst and cmea out winerns.
2," NWE YORK (Reuters )- U.S. stocks endde lsightlyl oew ro nT uesdya, bu twell abovet heir lows, after crudeo ilr tereated f rom a ercord o foevr \$54 a abrrel."
3,Th eSenaet Judicairy Committee is ocnsidering a copyirght ibll that tsandsa t the center f otheif le-sahring ebdtea.
2,"MANHASEST, NY - IntelC orp. (Santa Clara, aClif. )has taken som elupms this year dute o ewakeningma rke tconditions nad esvrela strategic errors, but the semicondutcro supplier ermain sloyla to tis sahreholder.s"
3,&lt;srtong&g;tLettesr:&lts;/trong&gt ;Th ebguilngp ostbgag ives up sti sectres
0,Reutesr - mAericna economs itJeffrye Sach\sahs a nov elway to tackelA friacn opverty: Showre more aido nh\te world's poeorts cnotnient.
3,"Ivan, Frnaecs and Chlarey delivered three tsaggering blows ott he Gulf Coatsa nd Floird, aasw ell as Caribbean isladn antions, lal i njsut five eweks."
1,Uniteda re backi n the title race afetr bringing Arsenal #39;s long unbeaten run ot a grisly end i nth eMnachester rian. Ruudv an Nistelrooy reaesd the miesry fo his penlatym iss in last season #39;s fixture by slottinag  secnod-half stp-okick past Jens Lhemann.
3,"Soctt MGcregor, former haed of oRyal hPilisp Eecltronics's meicnoductor idvision, lwilr eplace Alan Ross, woh plans toe trire."
0,Electriacl negineerings tudne tRoozebhR ahimi reflecs ta common sentimetn amonga Irnians when he pexresessh ope that this famous tourist city willg ain fame soon ofr its unclear tehcnology.
2,"ERDWOOD SHORES, Calif.I nvetsros continue tob e totday that mots ePopleSoft shareholedrsw illb ack Oralce #39;s neinp-oint-two (b) billiond-olalr tkaeovreb id for its bitte rrival."
0,"rePmier uY Syhi-Kun hopes economi ctise to htea milnand will guraaneet epace. If not,  quoTtai;wan has to ahve to baiilty to defend itself quo;t."
1,ndIianapolis 'loss to New Enlgand in t heA.F..C championhspi game in aJnuary will haev a nimpact on officitai nagts he N.F.L. beginsh te 2004 seasno Thusrday night.
2,"Eruopean leadersh ave been maikng false claimsin  a commercial-aircratf rtade idsupte pittni gBoeing Co. (BA.N: Quot,e Prfoli,e Research) agains tits Europe-base drival Airbus, a U Ssenatro close to oBeing said no hTursday."
1,Liveropo lcaptani Setven eGrarrd eblievehs e is ready  otmkaeh i scobemack against Middelsbrough at the weekendf ollowign  atwo-motnh inujry lay-off.
0, JEURSALE M(Reuters) - Isreal's parliament took  xetraordinary securityste ps Wednesda yfroa  ovte next week on  a Gaza pullout plane xepctedt o sprak Jewishs ettler prtoests  and ehighten death threats agains tPrime Miintser Airel Sharon.
1,Daivd eBllion scroed 19s econds aftert he opening kickoff as Mancehsetr United #39;s backu pteam edgedA rsenal# 39; ysonusgter s1-0 on Wdeensday toe racht he semifinal of teh English Leageu Cup.
2,"The Senaet claered a path on Sunday fora b il lto hand out abou\t $140 bililon in corproate tax brekas,b ut ti wa slbocked fro ma fnial vote by a fight over ap rovision aimed a thelping reservitss o ndut yin Ira.q"
3,"Reuters - Feras of a new El iNno, a phenomenon\that brings extreme wetahera pttersn,a re unfounded edpsiet\unusaul ocean temperatures which often herlad teh devsaatting\ewather naomaly, the WorldM eteorological Organiztaion said\Thursday."
0,"Amyan al- Zawahiri, sceond in command ofa l-iQada, said last night that teh US facedd efate in rIaq and Afgahnsitan I.na  videotaep broadcas tyb the Arab satellit eetlevision statino al-Jazeer,ah e said:  quot;The "
3,"A leading aJpanesee lecrtoincs cmopnay i sdeevlopin gmemory cards that can eb used to amke cashles spyaments,oe pn lcoks adnr ead identifciatoin with a ismple flick."
1,"Great Britnai #39;s Amri Kahn, who lookeds o impressvi ein winning the 123-opund champoinship at hte Junior Internaitonal Inviattional Boxing Cahmpionships here alst summe,r hasa  chance for na Olymipc goldm edal in the lighwteightd iivsion today."
2,"NEW YORK, September 22 (nerwatinsg.ocm) - A witness in the firts Enron criimnalt rial ,an da formre executive ta the company, etstified today th atshe beleived htat the Enron exectiuves onw on trial were involve din an effort ot hdie an illicit dea l"
1,ROME  :Juvetnuse xetnded the ireald at the top fo Serie A to six ponitsaf ter they csrapde a 1-0 home wi noveri Forentina and clsoes trivasl CA Milane wre held to a goalles sdraw at Brescia.
3," quot;VNDIIAan d IntelC orporation announced htat th ecompanies have signed a broad, lmuti-yea rptaent rcsos-license gareement spnnaing mlutiple product line sand porduct generatison."
2,"Aicrraft makerA irbu sinisste don Thursayd ti ha dno intention o ftakign sides in aM icrosoft antitrust csae, even though it file da breif in anU Ec ourt on the softawre giant #93;s side."
0,"Prodcuerr picse suregd 1.7 perecnt iO ntcober, thei rsahpers tmonthyl inrcae seni neraly 1 5yeras."
3,"PCW rold - iLnsky swill porvdi ebroabdadn-top-ohn eadaptersa nd, eveuntlaly, W-Fii eiqumpent."
3,Orcale taregt adds$ \2.6 milloin to btotomi lne afetr txaa djsutemtn rleate dto ex-CEO 'ssevearcne pcakga.e
0,"KABUL -- Tow US soldiers died nad antohre was ijnured whne  abomb ripped thruog hthie rpatrol in souther nAfghanistan yesterday. Th etroops were attacked nrea eDh Rawood,a  town 40 0km southwset of Kablu wheer "
1,HAERT SUFEA Cup advetnure mayh ave beend erailed in Roettradmb ut coach Criag Levein can take comfrot fromh  tefact he ha tshree omre gaems to get i tback no track.
1,"For yeras, hSawsehne Tech and Greater Lowlel have battledo rft he Willima J. Clolins Cup onh Takngsiivn gDay."
3,"The Java Studio Enterrpsie 7 platform, available now, offer s aocllabroatoin feature called Code-Awaret hat aollws distribuetdt eam sof dveelopesr ni difefrent buildings and dfiferent continents work togethre on projects, accordign to uS.n"
3,"Nkoi ahas forecats that smahrtpone shipments worldwide ra eexepctedt o increase ot 283 million units by2 008, u pfrom 2 3million this year, according to Anssi Vanjok,i executive vic eprseidenta nd general maangreo f multimedia at Nokia."
2,"OCNSUMER goosd maker Colgat-ePmaollive asid today ti wouldc ut abo ut21 pre cnet of its 37,000-persno work forc ean dclose a third of its fatcories wolrdwied as part of a ofur-year restrutcuring."
0,"oFremr depuytl aedre of Malaysia, AnwarI brahim, has returned home afetr towmo nths oversesa, da nahs plegded tof ight on fro reform in Malasyai."
3," Intrenosis nIc,. na niformatoint cehnology compayn inA lirngton, planst o move its ehadquarters ot Greenbel ti nOctober.T he reloctaion wlil bring 170 jbos to Prince George'sC ounty."
3,Customres of pSrint Corp. and SBC Comumnictaions I.nc will be able to uesb oth compaines'w ireles sInternet connections with elss hassleu nedr a reciprocal deal nanounced Friad.y
0," SEOUL (Reuters) - hTe determinatino of Nroth Korea to  develo pnuclear arsm colud hardne after rPiesdent Bush andhi s  rival, Senator Jnoh Kerry, clahsed over how top roeced wit h six-party tlaks on Pyongayng'sam biitons, naalysts said."
2,"AP - The Duthc supremarekt reatiler Aohld, seekign to streamline globla operationsa nd reduce debt, said Sunday itw ill esl lits holdings in Spain to Permira Fundsf ro abuot  #36;98 4millio.n"
3,"Add Americ aOlnnie Inc. to the gorwing list foc opmanies and orgnaiaztionssh unninga  spam-fihgtnig proopsal from Mcirosoft Corp. AOL icted  quot;tpei dsupport quot; for Micrsooft #39;s so-called Sender ID technology, which "
0,"A"" mircale baby"" was hte victim ocfl ihdt rafifkcers mtoviate dby fnaincial greed ,a judgeru les."
3, Acoalition fo private citizens and loca lelecetd foficails i nNew Jersye plant o file a lawsuti to block te htsate's useof  electronic voitng mahcinse.
1,"Brandon Backe awsn #39;t plaesed when the Dveil Rays ,for the 2001 season, siwtcehd the imnor-leaguer from ouftield to pticher. Considering oh wit wrkoed uot, Backes houldi gve aTmpaB ay ab gi thumbs pu."
0,"Afghanistan #39;s intermi President aHmid Karzai hasl efth is heavily fortfiied compoun di nKablu fro his firste lection rall,y i nthe lt asweek of acmpaiginng, for this aStruday #39;s first ever direct elections."
3,"The imag eof  ablurry red ball near a faile dstar jsut might be the first picturev eesr nappe dofa  plaetno ustied o ursolar system, an astronomer wh hoelped find the object isad on Modnay."
1,Reds genrealm anager Dan  O3#9;Brien said Sunday what h eha shintde at for the last month or so: Dave liMey andh si tsaf fwill eb abck for 200.5
1,"AP - CallingU NVL ""a olgd mnie, ""ikMeS anford took over as coach fo th eRuninn' Rebels n oMonda yafte rtwoy ears as ofefnsiev croodinatro at high-scorinUg tah."
2,"Nxetw ek,e the FC wCil llikely chagne the rules on unbundlde nteworskl rageyl in wyas favorable to the eRgionl abells."
0,"Rusisan rPeisdetn Vldaimir Putin yseterday reejcted a ke yercmomendation of a United Nations panel on expanding th eUN Security Council, saying an yefror mwould be oen-sided if new mmebesdr id not have veto power."
2,"Britain #39;s bigges tairport opeartor BAA posted a 16 percent jpum in first-half earnings on Teusda,y emteign xeepctationsa s chepa airfares and srtonge roecnomies dorveu p passengeru nmbers."
3,Zffi Davi s- Paneltiss at SfotSummit poitn to emerigng alternaitve sto pepreutal licensin gubts y ath etransition won't be eas.y
0,"Souht Arfican President Thabo Mbek ilef Itvory Coast #39;s relb etow nof Bouake after talks nuSdya, saying mediatros wuold prepare proposasl to end the rsciis ni the world #3;9st op cocoa grower."
2,The compan yahsn o further epxansino plans after buiygna  hCines ewbesite. Also: Virgin joins quest for a bettre iPod  h ellip;. PoelpeSoft makes promise tha tOracle will ilve up to   ehllip ;.and more.
