label,text
1,"CHARLOTTE,              N.C. (Sports                  Network)           -      Carolina                        Panthers                 running          back                      Stephen            Davis           wi              ll                       mi          ssthe          remainder      of                    the                         season        after                being          placed                    on      injured   rese  rve                 Saturday."
0,"PRESENTACION,     Philip       pines                       (Reuters)                 -       Philippine            communistrebels  freed             Wednesday          two                         soldiers     they                     had    held                 as ""prisoners              of   war""                    for       more        than        five         months,sayingthey    wanted           to                         rebuild          confidence   in                   peace           talks     with  thegovernment."
3,"SAN FRANCISCO,           CA                       -   November  30,      2004  -Ubisoft,         one    of                 the                   world   #39;s                     largest   video                         game            publishers,             tod       ay                 announced           its  plans              to            launch                      the   n                       ext    installment              in                   the          Tom         Clancy #39;s                         Rainbow     SixR franchise      for      the           Sony                    PlayStationR2      com                        puter              entertainment   system"
1,D        ANIEL                       VETTORI        s                    pun        New      Zealand                      to                  the             brinkof     a             crushing    victory              over     Bangladesh                        in   the                      second      andfinal                        Test             at                        the            MA Aziz                         Stadium                         in   Chittagong               today.
0,"AFP          -                      Georgian    and     South       Ossetian   forces     overnight  accused       eachother            of         trying                     to                storm               the                      other                         side's      positions                   in             Georgia's                         breakaway                  region            of              South    Ossetia,             as                  four   Georgian      soldiers                  werereported                   tobe                wounded."
3,Hewlett-Packard                 has          signed                    a                        deal                  to                       sell                  netwo              rk     adapters        from          start-up                      S2io     that               the            companies                       say                can          transfer                 data             10                    times     faster            than      today #              39;s                 widespreadstandard.
1,AnnikaSorenstam   could               only      manage                        a         level-par                      72                       on      day               three                   of             the       ADT                  Tour            Championship         in                       Florida                     butit           was         enough                       to                    maintain                      a one-stroke   lead.
1,AP-                   Maria                Sharapovawithdrew                     from        her                 semifinal   at           the          AdvantaChampionships                         on            Saturday                  with                      a strained              right                shoulder.
0,"The        gove  rnments             of               Serbia                    and                     the   Bosnian              Serb   enclave                        of              Bosnia-Herzegovina                       have                 failed          to              bring   war         crimes  suspects  to       the                     United                     Nations  tribunal,                         Chief           Prosecutor  Carla                Del             Ponte     told                 the                Security                       Coun    cil."
2,"The                   nation                      #39;s    two      largest                      automakers                       on              Wednesday          reported                       weak                 November         sales,         but                   both                         expressedconfidence thatnew        products   would             help       them   pick                         up     momentum."
0,"KABUL, Dec            8                (AFP)                 -       NATO-led     troops                        in      Afghanistan                will           not                        scale                        back  their                presence                      before  parliamentary  elections                in             the                       war-torn        countrynext              spring,                    French  junior        foreign    minister              Renaud    Muselier said              Wednesday."
3,"S        ony       Europe                  has        launched     two                        tiny        512MB                 and                     1GB                      MP3                        players,         the     NW-E95    and         NW-E99            Network             Walkman.            Both              play                  MP3                   (Sony                     has       officially       bit     the          mp3       bullet)    and            ATRAC3pluscompressed                      files    and      have           a                       small          blue   backlit                   LCD              screen."
2,"Bank             of           America               has   an         option           to               cut          at              least                         4,500         jobs                  while                       reorganizingits        stru             cture.                      This            is         not     the              first                         timewhen        the    bank           reduces       j        obs."
0,"couldhelp              the  interim           government      #39;s                 efforts   to                calm   rebel-held                      strongholds before                 elections           due          in    January.                 colleague,                Sheikh  Mahm    oud                      Sudani,                   after          he                       got   out         ofjail              onThursday."
0,"AFP     -           US              Secretaryof  State           Colin Powell            will       visit                Japan,                   China     and South     Korea beginning    n               ext  week  for                       talks                   on            the      stalled      effort            to               endthe                      impasse   over            North       Korea'snuclear      program,        Iraq,                terrorism      and           other               matters,            the                  State                     Department  said."
1,"NO      SPECTATORS        will  be      watching      in            the                         ground,       but   the             eyes               of                         Europe                 will              be           trained      on                    Romes                  Olympic               Stadium     tonight          as    Real  Madrid             seek                         the               winthey    probably                        needto        avoid       a         humiliating,     early          exitfrom           the  Champions                        League."
1,"AP    -       David                    Greene  threw             fo       ra      career-high                  382   yards                        and          two                         touchdowns,                     Thomas                 Brown        rushed       for    107     yards                       and                        No.                       10      Georgia                         held         off                Arkansas          20-14."
3,AP                  -                       United                 Microelectronics                  Corp.                  #151;                  the       world's                No.  2      producer            of                       made-to-order      chips                #151;                     on       Wednesday        re   ported   that                         its   third-quarter    net       profit          more                  than       doubled        on  y             ear                   as           shipments               of                         chips               for       m     obile                   phones               and                       other                gadgets   increased.
2,"AccountingWEB.com                    -         October              06,                2004              -           The                      opening                 of          a               trial                      related                to                       Oracle          #39;s               takeover                        bid           of      PeopleSoft                  featured                    the              revelation                         that              CEO               Craig          Conway                   was              fired        lastweek   for                   making               misleading               statements      about              PeopleSoft                    #                39;s            sales."
0,"Canadian              Press               -               TOKYO                   (       AP)                    -           Japan's                     economybarely                       grew                   during  the      quarter          ending Sept.          30                 and           in                         the                       April-June    period             it               actually                     shrank           instead          of       squeezing    out              slight             growth,accordingto         revised      government  data released      Wednesday."
2,"WASHINGTON-         Employers                         stepped      up                      hiring                        in                     August,                    ex            panding                        payrolls                 by                    144,000       and          lowering               the                   unemployment                  rate             to          5.4  percent."
3,"Zastrossi       writes                       quot;According                   to        the     Anti-Phishing       Working          Group,      phishingsites--the              practice              of                 making                       sites  that lookand                      act                   like                popular          sites     such                 as                       banks                   in                    order                      to     steal            personal                       information       from   customers--rose                 from 543               sites                 in         September         to"
0,The       Israeli            army                     sealed                 off               Gaza             Strip               Wednesday                        by                  shutting                        down     Erez       Crossing                 and              the    Indu                    s            trial                  Zone                   and prevented              Palestinians        from          leaving.
2,"NEW          YORK                  (Reuters)                 -              Monsanto                Co.&lt;A                         HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N                         target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt;                   on      Wednesday       said                 the              U.S.             Justice                    Departmenthas               closed                   an             inquiry               into potential           antitrust       issues regarding                         a            key              ingredient         used               in                         its        Roundup       herbicide."
3,"Geneva                  -                       Worldwide                       sales                        of  industrial           robots                        surged                to                record                      levels               in                      the    first                      h         alf              of                       2004        a         fter                    equipment        prices                fell   while          labour     costs                         grew,       the            United             Nations                     Economic    Commission  for      Europe                         said         in   a             report                 to             be                released                      today."
0,A         prominent                      Mexican                    journalist          known              for              his                   reports                         on               org         anised                       crime        is        killed     on          the                     US               border.
3,"For         the  past       few                        years,            vir            uses               have attacked                   Microsoft                       #39;s  operating                system,            Web                        browser                     or      e-mail              programs                       seemingly             on                 a                weekly          basis."
0,"Reuters                       -       A        Paris             courtwatched            on     Friday                    a\surveillance     video      shotby  Islamic                     militants                         plotting                   to            bomb      a   \Strasbourg          market,                      in           which                       a   commentator                    brands        the              French\city    a      modern-day    Babylon       whose             residents                would      go                      to          hell."
2,H                      oward                        Stern           will     leave  avery                    different                         company       tha      n                       the             Infinity            Broadcasting        he            first                    joined                        in        1985.     The            Viacom-owned   radio           giant                       started    out                     a
0,"AFP          -  Microsoft                   said                        it        will                      join                         with                  India'ssecond-largest             softwa  re                     firm,            Infosys           Technologies,                to                      provide                    software              and                        consulting to           manufacturing,           banking                      and                       automobile   companies."
3,"A                 new           spacecraft                  is                       being readied    to             make               the                fastest, most detailed                studyyet                 of     the             fleeting               gamma       ray                      bursts                 emanating        from          deep           in  space."
3,Individually       theyve      been          unstoppable                    in  their                   respective  industr              ies.                   Theyre                      both                  legends                    that      have               survived                 the                    dot                       com                        bu                rst     and                      c                ame                     out                        winners.
