strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(4),recall(4),f1-score(4),support(4),precision(5),recall(5),f1-score(5),support(5),precision(6),recall(6),f1-score(6),support(6),precision(7),recall(7),f1-score(7),support(7),precision(8),recall(8),f1-score(8),support(8),precision(9),recall(9),f1-score(9),support(9),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
Mixed,ResNet50,In-Distribution,2024-11-04 09:51:07.111246,3906.618020772934,1,0.8143,0.63985276222229,0.7692307692307693,0.89,0.8252202132591562,1000.0,0.9546998867497168,0.843,0.8953797132235792,1000.0,0.7968085106382978,0.749,0.7721649484536081,1000.0,0.7349693251533742,0.599,0.6600550964187327,1000.0,0.8644470868014269,0.727,0.7897881586094513,1000.0,0.7167420814479638,0.792,0.7524940617577198,1000.0,0.9254587155963304,0.807,0.8621794871794872,1000.0,0.7533222591362126,0.907,0.8230490018148819,1000.0,0.8662846227316141,0.907,0.8861748900830484,1000.0,0.8116197183098591,0.922,0.8632958801498127,1000.0,0.8193582975795566,0.8143,0.8129801450949478,10000.0,0.8193582975795564,0.8143,0.8129801450949478,10000.0
Mixed,ResNet50,Brightness 1,2024-11-04 09:51:14.578260,3906.618020772934,1,0.8115,0.662082314491272,0.7489574645537949,0.898,0.8167348794906775,1000.0,0.9575688073394496,0.835,0.8920940170940171,1000.0,0.8087431693989071,0.74,0.7728459530026109,1000.0,0.76,0.589,0.6636619718309859,1000.0,0.8699386503067484,0.709,0.7812672176308539,1000.0,0.7065026362038664,0.804,0.7521047708138447,1000.0,0.9277522935779816,0.809,0.8643162393162395,1000.0,0.7465020576131687,0.907,0.8189616252821671,1000.0,0.8423005565862709,0.908,0.873917228103946,1000.0,0.8171275646743978,0.916,0.8637435172088637,1000.0,0.8185393200254586,0.8115,0.8099647419774207,10000.0,0.8185393200254585,0.8115,0.8099647419774207,10000.0
Mixed,ResNet50,Brightness 2,2024-11-04 09:51:20.373414,3906.618020772934,1,0.8031,0.7029623985290527,0.7203187250996016,0.904,0.8017738359201774,1000.0,0.9650756693830036,0.829,0.8918773534158149,1000.0,0.8133187772925764,0.745,0.7776617954070981,1000.0,0.7467700258397932,0.578,0.6516347237880497,1000.0,0.8769230769230769,0.684,0.7685393258426966,1000.0,0.6854419410745234,0.791,0.734447539461467,1000.0,0.9305882352941176,0.791,0.8551351351351352,1000.0,0.736541598694943,0.903,0.8113207547169813,1000.0,0.8226244343891402,0.909,0.8636579572446555,1000.0,0.8297872340425532,0.897,0.8620855358000962,1000.0,0.8127389718033328,0.8030999999999999,0.8018133956732172,10000.0,0.8127389718033329,0.8031,0.8018133956732171,10000.0
Mixed,ResNet50,Brightness 3,2024-11-04 09:51:26.217975,3906.618020772934,1,0.7865,0.7559269666671753,0.6802106847253574,0.904,0.7762988407041649,1000.0,0.964200477326969,0.808,0.8792165397170839,1000.0,0.7971491228070176,0.727,0.7604602510460251,1000.0,0.7090216010165185,0.558,0.6245103525461668,1000.0,0.871447902571042,0.644,0.7406555491661876,1000.0,0.6715141146278871,0.785,0.7238358690640849,1000.0,0.9233532934131736,0.771,0.8403269754768392,1000.0,0.734094616639478,0.9,0.8086253369272237,1000.0,0.7992895204262878,0.9,0.8466603951081845,1000.0,0.8354186717998076,0.868,0.8513977439921531,1000.0,0.7985700005353539,0.7865000000000001,0.7851987853748114,10000.0,0.7985700005353538,0.7865,0.7851987853748112,10000.0
Mixed,ResNet50,Brightness 4,2024-11-04 09:51:32.031301,3906.618020772934,1,0.7705,0.81935715675354,0.6405135520684736,0.898,0.7477102414654455,1000.0,0.9620563035495716,0.786,0.8651623555310951,1000.0,0.7967853042479908,0.694,0.7418492784607161,1000.0,0.6831683168316832,0.552,0.6106194690265486,1000.0,0.8736111111111111,0.629,0.7313953488372092,1000.0,0.6534234995773457,0.773,0.7081997251488777,1000.0,0.910950661853189,0.757,0.8268705625341344,1000.0,0.7283950617283951,0.885,0.799097065462754,1000.0,0.7773882559158632,0.887,0.8285847734703409,1000.0,0.83399209486166,0.844,0.8389662027833001,1000.0,0.7860284161745283,0.7705000000000001,0.7698455022720422,10000.0,0.7860284161745283,0.7705,0.7698455022720423,10000.0
Mixed,ResNet50,Brightness 5,2024-11-04 09:51:37.846067,3906.618020772934,1,0.7214,0.9856195449829102,0.5488861386138614,0.887,0.6781345565749236,1000.0,0.960651289009498,0.708,0.8151986183074266,1000.0,0.8010403120936281,0.616,0.6964386659129452,1000.0,0.5878661087866108,0.562,0.574642126789366,1000.0,0.864406779661017,0.561,0.6804123711340206,1000.0,0.6011754827875735,0.716,0.6535828388863533,1000.0,0.89375,0.715,0.7944444444444444,1000.0,0.7124895222129086,0.85,0.7751937984496122,1000.0,0.7168367346938775,0.843,0.7748161764705882,1000.0,0.828039430449069,0.756,0.7903815995818088,1000.0,0.7515141798308044,0.7214,0.7233245196551489,10000.0,0.7515141798308044,0.7214,0.7233245196551489,10000.0
Mixed,ResNet50,Contrast 1,2024-11-04 09:51:43.651025,3906.618020772934,1,0.797,0.6709954738616943,0.7215397215397216,0.881,0.7933363349842414,1000.0,0.9561091340450772,0.806,0.8746608790016278,1000.0,0.7282502443792767,0.745,0.7365299060800792,1000.0,0.7002262443438914,0.619,0.6571125265392781,1000.0,0.7904858299595142,0.781,0.7857142857142858,1000.0,0.7782705099778271,0.702,0.7381703470031545,1000.0,0.9023255813953488,0.776,0.8344086021505377,1000.0,0.8130841121495327,0.87,0.8405797101449274,1000.0,0.782793867120954,0.919,0.8454461821527139,1000.0,0.8415458937198068,0.871,0.856019656019656,1000.0,0.8014631138630952,0.797,0.7961978429790503,10000.0,0.801463113863095,0.797,0.7961978429790503,10000.0
Mixed,ResNet50,Contrast 2,2024-11-04 09:51:49.392501,3906.618020772934,1,0.6799,1.0773522853851318,0.6083150984682714,0.834,0.7035006326444538,1000.0,0.97339593114241,0.622,0.7589993898718731,1000.0,0.5609756097560976,0.667,0.6094106898126999,1000.0,0.5451923076923076,0.567,0.5558823529411765,1000.0,0.5734632683658171,0.765,0.6555269922879177,1000.0,0.8282647584973166,0.463,0.5939704939063501,1000.0,0.8389261744966443,0.625,0.7163323782234957,1000.0,0.8537455410225921,0.718,0.7800108636610538,1000.0,0.5909090909090909,0.923,0.7205308352849337,1000.0,0.8541666666666666,0.615,0.7151162790697674,1000.0,0.7227354447017215,0.6799,0.6809280907703721,10000.0,0.7227354447017215,0.6799,0.6809280907703722,10000.0
Mixed,ResNet50,Contrast 3,2024-11-04 09:51:55.134024,3906.618020772934,1,0.5492,1.5542230606079102,0.4735547355473555,0.77,0.5864432597105864,1000.0,0.9775,0.391,0.5585714285714285,1000.0,0.4820960698689956,0.552,0.5146853146853148,1000.0,0.4440497335701598,0.5,0.4703668861712135,1000.0,0.4292452830188679,0.728,0.5400593471810089,1000.0,0.8156424581005587,0.292,0.4300441826215022,1000.0,0.7308823529411764,0.497,0.5916666666666667,1000.0,0.8713826366559485,0.542,0.6683107274969173,1000.0,0.4539877300613497,0.888,0.6008119079837618,1000.0,0.8491048593350383,0.332,0.4773544212796549,1000.0,0.652744585909945,0.5492,0.5438314142368056,10000.0,0.6527445859099451,0.5492,0.5438314142368055,10000.0
Mixed,ResNet50,Contrast 4,2024-11-04 09:52:00.928699,3906.618020772934,1,0.3755,2.3812255859375,0.3053097345132743,0.69,0.4233128834355828,1000.0,0.9879518072289156,0.082,0.1514312096029547,1000.0,0.3886363636363636,0.342,0.3638297872340426,1000.0,0.3262469337694194,0.399,0.358974358974359,1000.0,0.3014084507042253,0.642,0.410223642172524,1000.0,0.7027027027027027,0.104,0.181184668989547,1000.0,0.577490774907749,0.313,0.4059662775616083,1000.0,0.9210526315789472,0.28,0.4294478527607362,1000.0,0.3555555555555555,0.832,0.4982035928143712,1000.0,0.7888888888888889,0.071,0.1302752293577981,1000.0,0.5655243843486042,0.3755,0.3352849502903524,10000.0,0.5655243843486042,0.3755,0.3352849502903524,10000.0
