strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(4),recall(4),f1-score(4),support(4),precision(5),recall(5),f1-score(5),support(5),precision(6),recall(6),f1-score(6),support(6),precision(7),recall(7),f1-score(7),support(7),precision(8),recall(8),f1-score(8),support(8),precision(9),recall(9),f1-score(9),support(9),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg),severity
Mixed,ResNet50,In-Distribution,2024-11-04 23:32:00.410818,2071.9828839302063,1,0.8059,0.633100152015686,0.8120229007633588,0.851,0.8310546875000001,1000.0,0.8249566724436742,0.952,0.8839368616527391,1000.0,0.7333984375,0.751,0.7420948616600791,1000.0,0.685456595264938,0.608,0.6444091149973503,1000.0,0.8507462686567164,0.684,0.7583148558758315,1000.0,0.7419354838709677,0.713,0.7271800101988782,1000.0,0.8199445983379502,0.888,0.8526164186269805,1000.0,0.7861471861471861,0.908,0.842691415313225,1000.0,0.9180497925311204,0.885,0.9012219959266802,1000.0,0.8902173913043478,0.819,0.853125,1000.0,0.806287532682026,0.8059000000000001,0.8036645221751764,10000.0,0.8062875326820259,0.8059,0.8036645221751765,10000.0,
Mixed,ResNet50,Brightness 1,2024-11-04 23:32:10.908401,2071.9828839302063,1,0.8045,0.6452127695083618,0.7964847363552267,0.861,0.8274867851994233,1000.0,0.8257839721254355,0.948,0.8826815642458099,1000.0,0.738747553816047,0.755,0.7467853610286844,1000.0,0.6931034482758621,0.603,0.6449197860962567,1000.0,0.84375,0.675,0.75,1000.0,0.742798353909465,0.722,0.7322515212981745,1000.0,0.8289473684210527,0.882,0.8546511627906976,1000.0,0.772572402044293,0.907,0.8344066237350506,1000.0,0.9055837563451776,0.892,0.8987405541561713,1000.0,0.9049773755656108,0.8,0.8492569002123143,1000.0,0.805274896685817,0.8045,0.8021180258762582,10000.0,0.805274896685817,0.8045,0.8021180258762582,10000.0,Lowest
Mixed,ResNet50,Brightness 2,2024-11-04 23:32:17.810740,2071.9828839302063,1,0.8006,0.6696478724479675,0.7811387900355872,0.878,0.8267419962335216,1000.0,0.824607329842932,0.945,0.880708294501398,1000.0,0.7469635627530364,0.738,0.7424547283702214,1000.0,0.6868571428571428,0.601,0.6410666666666666,1000.0,0.8419023136246787,0.655,0.736782902137233,1000.0,0.7357723577235772,0.724,0.7298387096774195,1000.0,0.8244131455399061,0.878,0.8503631961259079,1000.0,0.7669491525423728,0.905,0.8302752293577982,1000.0,0.8972809667673716,0.891,0.8941294530858003,1000.0,0.9123414071510956,0.791,0.8473486877343333,1000.0,0.8018226168837701,0.8006,0.79797098638903,10000.0,0.80182261688377,0.8006,0.79797098638903,10000.0,Mid-Range
Mixed,ResNet50,Brightness 3,2024-11-04 23:32:24.490131,2071.9828839302063,1,0.7931,0.7058473825454712,0.7445742904841403,0.892,0.8116469517743404,1000.0,0.8219895287958116,0.942,0.8779123951537744,1000.0,0.7502601456815817,0.721,0.7353391126976033,1000.0,0.6786114221724524,0.606,0.6402535657686212,1000.0,0.8440366972477065,0.644,0.7305728871242202,1000.0,0.7257085020242915,0.717,0.721327967806841,1000.0,0.8232514177693762,0.871,0.84645286686103,1000.0,0.7725321888412017,0.9,0.8314087759815242,1000.0,0.8764940239043825,0.88,0.8782435129740519,1000.0,0.9199029126213591,0.758,0.831140350877193,1000.0,0.7957361129542304,0.7930999999999999,0.79042983870192,10000.0,0.7957361129542303,0.7931,0.79042983870192,10000.0,Mid-Range
Mixed,ResNet50,Brightness 4,2024-11-04 23:32:31.732264,2071.9828839302063,1,0.7793,0.7519518136978149,0.7086302454473475,0.895,0.7909854175872735,1000.0,0.8125,0.936,0.8698884758364314,1000.0,0.7399150743099787,0.697,0.7178166838311019,1000.0,0.6547231270358306,0.603,0.6277980218636127,1000.0,0.8399452804377565,0.614,0.7094165222414789,1000.0,0.7081673306772909,0.711,0.7095808383233534,1000.0,0.8104265402843602,0.855,0.8321167883211679,1000.0,0.7811120917917035,0.885,0.829817158931083,1000.0,0.8598409542743539,0.865,0.8624127617148554,1000.0,0.9230769230769232,0.732,0.8165086447295036,1000.0,0.7838337567335546,0.7793,0.7766341313379861,10000.0,0.7838337567335545,0.7793,0.7766341313379861,10000.0,Mid-Range
Mixed,ResNet50,Brightness 5,2024-11-04 23:32:39.082147,2071.9828839302063,1,0.7467,0.8760663866996765,0.6253481894150418,0.898,0.7372742200328407,1000.0,0.7965065502183406,0.912,0.8503496503496504,1000.0,0.7124600638977636,0.669,0.6900464156781847,1000.0,0.5770334928229665,0.603,0.5897310513447432,1000.0,0.8462664714494875,0.578,0.6868686868686869,1000.0,0.6908108108108109,0.639,0.663896103896104,1000.0,0.7927756653992395,0.834,0.8128654970760233,1000.0,0.8147086914995224,0.853,0.8334147532975086,1000.0,0.8109404990403071,0.845,0.8276199804113614,1000.0,0.9271137026239068,0.636,0.7544483985765125,1000.0,0.7593964137177387,0.7466999999999999,0.7446514757531616,10000.0,0.7593964137177387,0.7467,0.7446514757531616,10000.0,Highest
Mixed,ResNet50,Contrast 1,2024-11-04 23:32:47.455900,2071.9828839302063,1,0.804,0.6430982351303101,0.8057142857142857,0.846,0.8253658536585367,1000.0,0.8853868194842407,0.927,0.9057156814851002,1000.0,0.7025023169601483,0.758,0.7291967291967292,1000.0,0.6673728813559322,0.63,0.6481481481481481,1000.0,0.7653575025176234,0.76,0.7626693426994481,1000.0,0.8308724832214766,0.619,0.7094555873925501,1000.0,0.7683235046335299,0.912,0.8340192043895748,1000.0,0.8482490272373541,0.872,0.8599605522682445,1000.0,0.8627819548872181,0.918,0.8895348837209303,1000.0,0.9246813441483198,0.798,0.856682769726248,1000.0,0.8061242120160129,0.8039999999999999,0.8020748752685509,10000.0,0.806124212016013,0.804,0.8020748752685509,10000.0,Mid-Range
Mixed,ResNet50,Contrast 2,2024-11-04 23:32:54.897200,2071.9828839302063,1,0.6861,1.041841745376587,0.7344357976653697,0.755,0.7445759368836292,1000.0,0.9183168316831684,0.742,0.820796460176991,1000.0,0.5659536541889483,0.635,0.5984919886899152,1000.0,0.5415821501014199,0.534,0.5377643504531722,1000.0,0.5337792642140469,0.798,0.6396793587174349,1000.0,0.8865979381443299,0.344,0.4956772334293948,1000.0,0.6415235250186706,0.859,0.7345019238991021,1000.0,0.8916129032258064,0.691,0.7785915492957746,1000.0,0.6430048242591316,0.933,0.7613219094247247,1000.0,0.9375,0.57,0.708955223880597,1000.0,0.7294306888500891,0.6860999999999999,0.6820355934850736,10000.0,0.7294306888500891,0.6861,0.6820355934850735,10000.0,Highest
Mixed,ResNet50,Contrast 3,2024-11-04 23:33:02.534206,2071.9828839302063,1,0.5617,1.5722600221633911,0.6511857707509882,0.659,0.6550695825049703,1000.0,0.9439252336448598,0.505,0.6579804560260586,1000.0,0.4827586206896552,0.504,0.4931506849315068,1000.0,0.4448705656759348,0.464,0.4542339696524718,1000.0,0.3897969291728578,0.787,0.5213646902947996,1000.0,0.908675799086758,0.199,0.3264971287940935,1000.0,0.5560375994215474,0.769,0.6454049517415023,1000.0,0.9185840707964602,0.519,0.6632587859424921,1000.0,0.4917067950775816,0.919,0.6406413384454515,1000.0,0.9389067524115756,0.292,0.4454614797864226,1000.0,0.6726448136728219,0.5617000000000001,0.5503063068119769,10000.0,0.6726448136728218,0.5617,0.5503063068119769,10000.0,Highest
Mixed,ResNet50,Contrast 4,2024-11-04 23:33:10.326208,2071.9828839302063,1,0.399,2.5631468296051025,0.5214994487320838,0.473,0.4960671211326691,1000.0,0.94375,0.151,0.2603448275862069,1000.0,0.3947368421052631,0.315,0.3503893214682981,1000.0,0.3491789109766637,0.404,0.3745943439962911,1000.0,0.2737226277372263,0.75,0.4010695187165776,1000.0,0.8405797101449275,0.058,0.108512628624883,1000.0,0.4813971146545178,0.634,0.5472593871385413,1000.0,0.9550561797752808,0.255,0.4025256511444356,1000.0,0.3557046979865771,0.901,0.5100481177469572,1000.0,0.9423076923076924,0.049,0.0931558935361216,1000.0,0.6057933224420233,0.3989999999999999,0.3543966811090982,10000.0,0.6057933224420233,0.399,0.3543966811090981,10000.0,Highest
