Approach,Model,Corruption Type,Date,Training Time,Fscore
Baseline,ResNet50,brightness_3,2024-04-14 02:10:49.702797,1499.6492450237274,0.8990388026936345
Baseline,ResNet50,contrast_3,2024-04-14 02:10:52.073376,1499.6492450237274,0.4518190386559794
Baseline,ResNet50,defocus_blur_3,2024-04-14 02:10:54.432084,1499.6492450237274,0.8555188698826388
Baseline,ResNet50,elastic_3,2024-04-14 02:10:56.807274,1499.6492450237274,0.7694477709423471
Baseline,ResNet50,fog_3,2024-04-14 02:10:59.157779,1499.6492450237274,0.6769223764346003
Baseline,ResNet50,frost_3,2024-04-14 02:11:01.581371,1499.6492450237274,0.7211957075108698
Baseline,ResNet50,frosted_glass_blur_3,2024-04-14 02:11:03.937019,1499.6492450237274,0.7657070789196171
Baseline,ResNet50,gaussian_blur_3,2024-04-14 02:11:06.302549,1499.6492450237274,0.795628983243399
Baseline,ResNet50,gaussian_noise_3,2024-04-14 02:11:08.658101,1499.6492450237274,0.7861763502898448
Baseline,ResNet50,impulse_noise_3,2024-04-14 02:11:11.009482,1499.6492450237274,0.7359988572533578
Baseline,ResNet50,jpeg_compression_3,2024-04-14 02:11:13.368869,1499.6492450237274,0.892402192294664
Baseline,ResNet50,motion_blur_3,2024-04-14 02:11:15.711279,1499.6492450237274,0.6237152386642437
Baseline,ResNet50,pixelate_3,2024-04-14 02:11:18.062080,1499.6492450237274,0.9157433033925068
Baseline,ResNet50,saturate_3,2024-04-14 02:11:20.411828,1499.6492450237274,0.9244799887913062
Baseline,ResNet50,shot_noise_3,2024-04-14 02:11:22.760229,1499.6492450237274,0.8328303439867293
Baseline,ResNet50,snow_3,2024-04-14 02:11:25.108219,1499.6492450237274,0.779786247607273
Baseline,ResNet50,spatter_3,2024-04-14 02:11:27.460120,1499.6492450237274,0.7731579149836156
Baseline,ResNet50,speckle_noise_3,2024-04-14 02:11:29.831494,1499.6492450237274,0.8577188204653521
Baseline,ResNet50,zoom_blur_3,2024-04-14 02:11:32.192564,1499.6492450237274,0.7585202393281929
Baseline,ResNet50,brightness_3,2024-04-14 02:30:53.949685,1157.1797134876251,0.8748657856403513
Baseline,ResNet50,contrast_3,2024-04-14 02:30:56.291269,1157.1797134876251,0.4947457957559996
Baseline,ResNet50,defocus_blur_3,2024-04-14 02:30:58.629144,1157.1797134876251,0.8720922282829662
Baseline,ResNet50,elastic_3,2024-04-14 02:31:00.970339,1157.1797134876251,0.7890513434377104
Baseline,ResNet50,fog_3,2024-04-14 02:31:03.309720,1157.1797134876251,0.7318527054133024
Baseline,ResNet50,frost_3,2024-04-14 02:31:05.647239,1157.1797134876251,0.6831439758247587
Baseline,ResNet50,frosted_glass_blur_3,2024-04-14 02:31:07.973882,1157.1797134876251,0.7946032227524348
Baseline,ResNet50,gaussian_blur_3,2024-04-14 02:31:10.321343,1157.1797134876251,0.8045030053543748
Baseline,ResNet50,gaussian_noise_3,2024-04-14 02:31:12.663538,1157.1797134876251,0.804026596118048
Baseline,ResNet50,impulse_noise_3,2024-04-14 02:31:14.990584,1157.1797134876251,0.7582983401626168
Baseline,ResNet50,jpeg_compression_3,2024-04-14 02:31:17.343353,1157.1797134876251,0.9009506145437672
Baseline,ResNet50,motion_blur_3,2024-04-14 02:31:19.676757,1157.1797134876251,0.6534120447687264
Baseline,ResNet50,pixelate_3,2024-04-14 02:31:22.016362,1157.1797134876251,0.9248032591390593
Baseline,ResNet50,saturate_3,2024-04-14 02:31:24.356723,1157.1797134876251,0.935764830537315
Baseline,ResNet50,shot_noise_3,2024-04-14 02:31:26.692112,1157.1797134876251,0.8567423227146579
Baseline,ResNet50,snow_3,2024-04-14 02:31:29.040113,1157.1797134876251,0.7980396638508638
Baseline,ResNet50,spatter_3,2024-04-14 02:31:31.380262,1157.1797134876251,0.8006843029083855
Baseline,ResNet50,speckle_noise_3,2024-04-14 02:31:33.717572,1157.1797134876251,0.8793704278685448
Baseline,ResNet50,zoom_blur_3,2024-04-14 02:31:36.044359,1157.1797134876251,0.7689725256155497
Baseline,ResNet50,brightness_3,2024-04-14 02:56:23.691021,1483.093377828598,0.9307909015156828
Baseline,ResNet50,contrast_3,2024-04-14 02:56:26.982152,1483.093377828598,0.4744808873075861
Baseline,ResNet50,defocus_blur_3,2024-04-14 02:56:29.327571,1483.093377828598,0.9052170596837452
Baseline,ResNet50,elastic_3,2024-04-14 02:56:31.654157,1483.093377828598,0.8145678166284055
Baseline,ResNet50,fog_3,2024-04-14 02:56:33.984078,1483.093377828598,0.7201057229297545
Baseline,ResNet50,frost_3,2024-04-14 02:56:36.323000,1483.093377828598,0.761646799091759
Baseline,ResNet50,frosted_glass_blur_3,2024-04-14 02:56:38.660331,1483.093377828598,0.7816653962982805
Baseline,ResNet50,gaussian_blur_3,2024-04-14 02:56:40.991066,1483.093377828598,0.8422805421668107
Baseline,ResNet50,gaussian_noise_3,2024-04-14 02:56:43.323973,1483.093377828598,0.754003056079369
Baseline,ResNet50,impulse_noise_3,2024-04-14 02:56:45.644161,1483.093377828598,0.706385752507983
Baseline,ResNet50,jpeg_compression_3,2024-04-14 02:56:47.998190,1483.093377828598,0.906142719494034
Baseline,ResNet50,motion_blur_3,2024-04-14 02:56:50.341740,1483.093377828598,0.722477676202424
