corruption_type,mean,category
antonym_1,0.66777813,Lowest
antonym_2,0.96278524,Lowest
antonym_3,1.0778872,Lowest
antonym_4,1.1544243,Mid-Range
antonym_5,1.1960288,Mid-Range
deletion_1,0.3861506,Lowest
deletion_2,0.798162,Lowest
deletion_3,1.2574732,Mid-Range
deletion_4,1.7106237,Mid-Range
deletion_5,2.2301893,Mid-Range
entity_masking_1,0.714461,Lowest
entity_masking_2,0.7937799,Lowest
entity_masking_3,0.95372593,Lowest
entity_masking_4,1.2758061,Mid-Range
entity_masking_5,1.8170202,Mid-Range
insertion_1,2.6856854,Mid-Range
insertion_2,3.9996753,Mid-Range
insertion_3,4.7909837,Highest
insertion_4,5.333326,Highest
insertion_5,6.018644,Highest
sentence_noise_injection_1,4.6231756,Mid-Range
sentence_noise_injection_2,5.937682,Highest
sentence_noise_injection_3,6.691908,Highest
sentence_noise_injection_4,7.0404234,Highest
sentence_noise_injection_5,7.2291913,Highest
shuffling_1,1.0821556,Mid-Range
shuffling_2,2.4253879,Mid-Range
shuffling_3,3.8291397,Mid-Range
shuffling_4,5.1287313,Highest
shuffling_5,6.5261903,Highest
synonym_1,1.1730012,Mid-Range
synonym_2,1.7326906,Mid-Range
synonym_3,2.0228214,Mid-Range
synonym_4,2.1699007,Mid-Range
synonym_5,2.242986,Mid-Range
truncation_1,2.4891672,Mid-Range
truncation_2,3.5090454,Mid-Range
truncation_3,3.9425776,Mid-Range
truncation_4,4.1538515,Mid-Range
truncation_5,4.3269753,Mid-Range
typo_1,3.7019525,Mid-Range
typo_2,5.339224,Highest
typo_3,6.19125,Highest
typo_4,6.635761,Highest
typo_5,6.9234295,Highest
whitespace_1,0.25155246,Lowest
whitespace_2,0.4923883,Lowest
whitespace_3,0.72856045,Lowest
whitespace_4,0.9583564,Lowest
whitespace_5,1.205006,Mid-Range
