strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
Baseline,LSTM,In-Distribution,2024-12-20 16:42:50.234604,473.55054354667664,1,0.9027631578947368,0.3054817318916321,0.93929173693086,0.8794736842105263,0.9083990214732264,1900.0,0.9523562920766442,0.9678947368421053,0.9600626468285044,1900.0,0.872,0.8605263157894737,0.866225165562914,1900.0,0.8516129032258064,0.9031578947368422,0.8766283524904215,1900.0,0.9038152330583276,0.9027631578947368,0.9028287965887666,7600.0,0.9038152330583276,0.9027631578947368,0.9028287965887664,7600.0
Baseline,LSTM,Typo 1,2024-12-20 16:42:52.323193,473.55054354667664,1,0.8073684210526316,0.5252943634986877,0.8865248226950354,0.7894736842105263,0.8351893095768375,1900.0,0.9301233118027012,0.8336842105263158,0.8792672772689425,1900.0,0.8723127035830619,0.7047368421052631,0.7796215429403203,1900.0,0.6415730337078651,0.901578947368421,0.749671772428884,1900.0,0.8326334679471659,0.8073684210526315,0.8109374755537461,7600.0,0.8326334679471659,0.8073684210526316,0.810937475553746,7600.0
Baseline,LSTM,Typo 2,2024-12-20 16:42:54.265349,473.55054354667664,1,0.6696052631578947,0.8741357326507568,0.8506919155134741,0.6147368421052631,0.7137183012526734,1900.0,0.9015897047691144,0.6268421052631579,0.7395218876125427,1900.0,0.8486159169550173,0.5163157894736842,0.6420157068062827,1900.0,0.4664,0.9205263157894736,0.6191150442477876,1900.0,0.7668243843094015,0.6696052631578948,0.6785927349798215,7600.0,0.7668243843094014,0.6696052631578947,0.6785927349798216,7600.0
Baseline,LSTM,Typo 3,2024-12-20 16:42:56.198118,473.55054354667664,1,0.5323684210526316,1.2068679332733154,0.7988394584139265,0.4347368421052631,0.5630538513974097,1900.0,0.8550106609808102,0.4221052631578947,0.5651867512332629,1900.0,0.7825059101654847,0.3484210526315789,0.4821558630735615,1900.0,0.3672103722291928,0.9242105263157896,0.5255911403771326,1900.0,0.7008916004473535,0.5323684210526316,0.5339969015203417,7600.0,0.7008916004473535,0.5323684210526316,0.5339969015203417,7600.0
Baseline,LSTM,Typo 4,2024-12-20 16:42:58.096580,473.55054354667664,1,0.4338157894736842,1.452096939086914,0.7458912768647282,0.3105263157894737,0.4384986993682646,1900.0,0.8009708737864077,0.2605263157894736,0.3931691818903892,1900.0,0.7517241379310344,0.2294736842105263,0.3516129032258064,1900.0,0.3165211192300837,0.9347368421052632,0.4729064039408867,1900.0,0.6537768519530636,0.4338157894736842,0.4140467971063367,7600.0,0.6537768519530636,0.4338157894736842,0.4140467971063367,7600.0
Baseline,LSTM,Typo 5,2024-12-20 16:43:00.029468,473.55054354667664,1,0.3703947368421053,1.6440671682357788,0.6928327645051194,0.2136842105263157,0.3266291230893001,1900.0,0.7149220489977728,0.1689473684210526,0.2733077905491698,1900.0,0.6917960088691796,0.1642105263157894,0.2654189706507869,1900.0,0.2904808635917566,0.9347368421052632,0.4432243573745945,1900.0,0.5975079214909571,0.3703947368421053,0.3271450604159628,7600.0,0.597507921490957,0.3703947368421053,0.3271450604159628,7600.0
Baseline,LSTM,Whitespace 1,2024-12-20 16:43:01.995652,473.55054354667664,1,0.9,0.3128759860992431,0.9349046015712682,0.8768421052631579,0.9049429657794676,1900.0,0.9521580863234528,0.9636842105263158,0.9578864765890662,1900.0,0.8697277095568606,0.8573684210526316,0.8635038430956798,1900.0,0.847675568743818,0.9021052631578949,0.8740438551759306,1900.0,0.90111649154885,0.9,0.900094285160036,7600.0,0.90111649154885,0.9,0.9000942851600361,7600.0
Baseline,LSTM,Whitespace 2,2024-12-20 16:43:03.914830,473.55054354667664,1,0.8972368421052631,0.3193452656269073,0.9356295878035008,0.8721052631578947,0.9027512939253608,1900.0,0.9546165884194052,0.963157894736842,0.9588682211160596,1900.0,0.8773274917853231,0.8431578947368421,0.8599033816425121,1900.0,0.8293384467881112,0.9105263157894736,0.868038133467135,1900.0,0.8992280286990851,0.8972368421052631,0.8973902575377669,7600.0,0.8992280286990851,0.8972368421052631,0.8973902575377669,7600.0
Baseline,LSTM,Whitespace 3,2024-12-20 16:43:05.900830,473.55054354667664,1,0.8901315789473684,0.3343933820724487,0.9284103720405864,0.8668421052631579,0.8965704953728906,1900.0,0.9523060796645704,0.9563157894736842,0.9543067226890756,1900.0,0.8661246612466125,0.8410526315789474,0.8534045393858478,1900.0,0.8215147129763628,0.8963157894736842,0.8572866851245909,1900.0,0.8920889564820329,0.8901315789473684,0.8903921106431013,7600.0,0.892088956482033,0.8901315789473684,0.8903921106431012,7600.0
Baseline,LSTM,Whitespace 4,2024-12-20 16:43:07.882812,473.55054354667664,1,0.8889473684210526,0.3408393561840057,0.92728297632469,0.8657894736842106,0.8954817637452368,1900.0,0.952581664910432,0.9515789473684212,0.9520800421274356,1900.0,0.8727272727272727,0.8336842105263158,0.8527590847913863,1900.0,0.8135352579271179,0.9047368421052632,0.8567156740593073,1900.0,0.8915317929723781,0.8889473684210526,0.8892591411808415,7600.0,0.8915317929723781,0.8889473684210526,0.8892591411808414,7600.0
