strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
Baseline,GRU,In-Distribution,2024-12-23 15:34:19.851407,476.5036380290985,1,0.910657894736842,0.2789685130119324,0.9353948094975152,0.891578947368421,0.9129614659121532,1900.0,0.9614181438998958,0.9705263157894736,0.965950759559979,1900.0,0.8890675241157556,0.8731578947368421,0.8810408921933085,1900.0,0.8598503740648379,0.9073684210526316,0.8829705505761843,1900.0,0.9114327128945012,0.9106578947368422,0.9107309170604064,7600.0,0.9114327128945012,0.910657894736842,0.9107309170604064,7600.0
Baseline,GRU,Typo 1,2024-12-23 15:34:21.998867,476.5036380290985,1,0.7932894736842105,0.5493530631065369,0.9035759897828864,0.7447368421052631,0.8165031736872476,1900.0,0.9414225941422594,0.8289473684210527,0.8816120906801007,1900.0,0.888967468175389,0.661578947368421,0.7585998792999397,1900.0,0.6046827281981676,0.9378947368421052,0.7353001856818651,1900.0,0.8346621950746755,0.7932894736842105,0.7980038323372882,7600.0,0.8346621950746757,0.7932894736842105,0.7980038323372883,7600.0
Baseline,GRU,Typo 2,2024-12-23 15:34:23.918790,476.5036380290985,1,0.6267105263157895,0.9724156260490416,0.8828337874659401,0.511578947368421,0.647784071976008,1900.0,0.9245283018867924,0.6189473684210526,0.7414880201765448,1900.0,0.9032992036405004,0.4178947368421052,0.5714285714285714,1900.0,0.4188132474701012,0.958421052631579,0.5829065300896287,1900.0,0.7823686351158337,0.6267105263157895,0.6359017984176882,7600.0,0.7823686351158335,0.6267105263157895,0.6359017984176882,7600.0
Baseline,GRU,Typo 3,2024-12-23 15:34:25.869404,476.5036380290985,1,0.4868421052631579,1.3863942623138428,0.8771676300578035,0.3194736842105263,0.4683641975308642,1900.0,0.9009324009324008,0.4068421052631579,0.5605511240029006,1900.0,0.8967495219885278,0.2468421052631579,0.3871234007428807,1900.0,0.3349013931608467,0.9742105263157896,0.4984515955298236,1900.0,0.7524377365348948,0.4868421052631579,0.4786225794516173,7600.0,0.7524377365348947,0.4868421052631579,0.4786225794516173,7600.0
Baseline,GRU,Typo 4,2024-12-23 15:34:27.804115,476.5036380290985,1,0.3882894736842105,1.704127311706543,0.8447368421052631,0.1689473684210526,0.281578947368421,1900.0,0.8639455782312925,0.2673684210526316,0.4083601286173633,1900.0,0.8395061728395061,0.1431578947368421,0.2446043165467626,1900.0,0.293278376664553,0.9736842105263158,0.4507797270955165,1900.0,0.7103667424601536,0.3882894736842105,0.3463307799070159,7600.0,0.7103667424601537,0.3882894736842105,0.3463307799070159,7600.0
Baseline,GRU,Typo 5,2024-12-23 15:34:29.782452,476.5036380290985,1,0.3351315789473684,1.9541330337524407,0.803921568627451,0.1078947368421052,0.1902552204176334,1900.0,0.7974358974358975,0.1636842105263158,0.2716157205240174,1900.0,0.839622641509434,0.0936842105263157,0.168560606060606,1900.0,0.274803499925849,0.9752631578947368,0.4287863010528752,1900.0,0.6789459018746579,0.3351315789473684,0.264804462013783,7600.0,0.6789459018746579,0.3351315789473684,0.264804462013783,7600.0
Baseline,GRU,Whitespace 1,2024-12-23 15:34:31.727833,476.5036380290985,1,0.9057894736842104,0.2873375415802002,0.9328151027207108,0.8842105263157894,0.907862739800054,1900.0,0.9607740585774058,0.966842105263158,0.9637985309548792,1900.0,0.8866702644360497,0.8647368421052631,0.8755662136957101,1900.0,0.8475909537856441,0.9073684210526316,0.8764616166751398,1900.0,0.9069625948799526,0.9057894736842104,0.905922275281446,7600.0,0.9069625948799526,0.9057894736842104,0.9059222752814458,7600.0
Baseline,GRU,Whitespace 2,2024-12-23 15:34:33.691167,476.5036380290985,1,0.9021052631578949,0.2962474524974823,0.9351593068753492,0.8805263157894737,0.9070208728652752,1900.0,0.9614572333685322,0.958421052631579,0.9599367422245652,1900.0,0.8879781420765027,0.8552631578947368,0.871313672922252,1900.0,0.8322951605174892,0.9142105263157896,0.871331828442438,1900.0,0.9042224607094684,0.9021052631578949,0.9024007791136324,7600.0,0.9042224607094682,0.9021052631578949,0.9024007791136324,7600.0
Baseline,GRU,Whitespace 3,2024-12-23 15:34:35.660693,476.5036380290985,1,0.8968421052631579,0.3145955502986908,0.9348680516563728,0.8763157894736842,0.904645476772616,1900.0,0.9601910828025476,0.9521052631578948,0.9561310782241016,1900.0,0.8865638766519823,0.8473684210526315,0.8665231431646933,1900.0,0.8173666823973572,0.911578947368421,0.8619059467529236,1900.0,0.899747423377065,0.8968421052631579,0.8973014112285836,7600.0,0.899747423377065,0.8968421052631579,0.8973014112285836,7600.0
Baseline,GRU,Whitespace 4,2024-12-23 15:34:37.632827,476.5036380290985,1,0.8925,0.3280773162841797,0.9304691916336914,0.8663157894736843,0.8972472063232488,1900.0,0.9602332979851538,0.953157894736842,0.9566825145272057,1900.0,0.888327721661055,0.8331578947368421,0.8598587724063009,1900.0,0.8058252427184466,0.9173684210526316,0.8579867093280827,1900.0,0.8962138634995866,0.8925000000000001,0.8929438006462096,7600.0,0.8962138634995866,0.8925,0.8929438006462096,7600.0
