,fold,corruption_type,kl_divergences
0,0,brightness_1,0.052022155
1,0,brightness_2,0.19728671
2,0,brightness_3,0.4110913
3,0,brightness_4,0.67135066
4,0,brightness_5,1.257052
5,0,contrast_1,0.083832934
6,0,contrast_2,0.3540696
7,0,contrast_3,0.5412623
8,0,contrast_4,0.7982101
9,0,contrast_5,1.4085125
10,0,defocus_blur_1,0.0019782924
11,0,defocus_blur_2,0.012175282
12,0,defocus_blur_3,0.02896651
13,0,defocus_blur_4,0.048820768
14,0,defocus_blur_5,0.11495141
15,0,elastic_1,1.1266268
16,0,elastic_2,0.973508
17,0,elastic_3,0.80854946
18,0,elastic_4,0.69823277
19,0,elastic_5,0.47598836
20,0,fog_1,0.08934809
21,0,fog_2,0.35441464
22,0,fog_3,0.63150084
23,0,fog_4,0.93217
24,0,fog_5,1.4466785
25,0,frost_1,0.46096256
26,0,frost_2,0.93612206
27,0,frost_3,1.1962776
28,0,frost_4,1.0663253
29,0,frost_5,1.1024528
30,0,frosted_glass_blur_1,0.32836553
31,0,frosted_glass_blur_2,0.32518896
32,0,frosted_glass_blur_3,0.31415644
33,0,frosted_glass_blur_4,0.8053656
34,0,frosted_glass_blur_5,0.77529365
35,0,gaussian_blur_1,0.0018703823
36,0,gaussian_blur_2,0.028375823
37,0,gaussian_blur_3,0.049841113
38,0,gaussian_blur_4,0.07582729
39,0,gaussian_blur_5,0.14218752
40,0,gaussian_noise_1,0.035945673
41,0,gaussian_noise_2,0.07398698
42,0,gaussian_noise_3,0.12202966
43,0,gaussian_noise_4,0.14789177
44,0,gaussian_noise_5,0.17646743
45,0,impulse_noise_1,0.065419436
46,0,impulse_noise_2,0.12425507
47,0,impulse_noise_3,0.17846969
48,0,impulse_noise_4,0.28018963
49,0,impulse_noise_5,0.37556836
50,0,jpeg_compression_1,0.021783574
51,0,jpeg_compression_2,0.03912488
52,0,jpeg_compression_3,0.04717975
53,0,jpeg_compression_4,0.057006445
54,0,jpeg_compression_5,0.07270324
55,0,motion_blur_1,0.12375937
56,0,motion_blur_2,0.27089816
57,0,motion_blur_3,0.4124529
58,0,motion_blur_4,0.41189897
59,0,motion_blur_5,0.5389253
60,0,pixelate_1,0.018861702
61,0,pixelate_2,0.032233916
62,0,pixelate_3,0.034980774
63,0,pixelate_4,0.056956924
64,0,pixelate_5,0.072603054
65,0,saturate_1,0.27645898
66,0,saturate_2,0.466532
67,0,saturate_3,0.1059707
68,0,saturate_4,0.4782467
69,0,saturate_5,0.87726504
70,0,shot_noise_1,0.024145553
71,0,shot_noise_2,0.04447513
72,0,shot_noise_3,0.097329386
73,0,shot_noise_4,0.123621054
74,0,shot_noise_5,0.17160664
75,0,snow_1,0.11529374
76,0,snow_2,0.36631125
77,0,snow_3,0.4967521
78,0,snow_4,0.81571543
79,0,snow_5,1.247524
80,0,spatter_1,0.051473927
81,0,spatter_2,0.14913064
82,0,spatter_3,0.3173863
83,0,spatter_4,0.2457394
84,0,spatter_5,0.38803375
85,0,speckle_noise_1,0.02709182
86,0,speckle_noise_2,0.06419833
87,0,speckle_noise_3,0.08687178
88,0,speckle_noise_4,0.13771974
89,0,speckle_noise_5,0.1959855
90,0,zoom_blur_1,0.19847547
91,0,zoom_blur_2,0.26453528
92,0,zoom_blur_3,0.37540045
93,0,zoom_blur_4,0.49966314
94,0,zoom_blur_5,0.62749255
95,1,brightness_1,0.19617943
96,1,brightness_2,0.608444
97,1,brightness_3,1.0286617
98,1,brightness_4,1.2194774
99,1,brightness_5,1.5955558
100,1,contrast_1,0.120672144
101,1,contrast_2,0.4845534
102,1,contrast_3,0.7286581
103,1,contrast_4,0.9800241
104,1,contrast_5,1.4518636
105,1,defocus_blur_1,0.0025249855
106,1,defocus_blur_2,0.012994226
107,1,defocus_blur_3,0.029304229
108,1,defocus_blur_4,0.047354985
109,1,defocus_blur_5,0.10513575
110,1,elastic_1,0.74055696
111,1,elastic_2,0.64306
112,1,elastic_3,0.53281367
113,1,elastic_4,0.46434078
114,1,elastic_5,0.31744996
115,1,fog_1,0.36079893
116,1,fog_2,0.87267005
117,1,fog_3,1.1808196
118,1,fog_4,1.4361925
119,1,fog_5,1.7477037
120,1,frost_1,1.026794
121,1,frost_2,1.3552636
122,1,frost_3,1.6124822
123,1,frost_4,1.5604867
124,1,frost_5,1.6626495
125,1,frosted_glass_blur_1,0.21508421
126,1,frosted_glass_blur_2,0.2150295
127,1,frosted_glass_blur_3,0.21215972
128,1,frosted_glass_blur_4,0.5240886
129,1,frosted_glass_blur_5,0.5086968
130,1,gaussian_blur_1,0.002416132
131,1,gaussian_blur_2,0.029052643
132,1,gaussian_blur_3,0.049673885
133,1,gaussian_blur_4,0.0740028
134,1,gaussian_blur_5,0.133653
135,1,gaussian_noise_1,0.023699932
136,1,gaussian_noise_2,0.054395635
137,1,gaussian_noise_3,0.09708227
138,1,gaussian_noise_4,0.12653705
139,1,gaussian_noise_5,0.1508346
140,1,impulse_noise_1,0.053214673
141,1,impulse_noise_2,0.119701155
142,1,impulse_noise_3,0.19356917
143,1,impulse_noise_4,0.3824922
144,1,impulse_noise_5,0.5837148
145,1,jpeg_compression_1,0.016239649
146,1,jpeg_compression_2,0.02835838
147,1,jpeg_compression_3,0.03372662
148,1,jpeg_compression_4,0.0404727
149,1,jpeg_compression_5,0.051084045
150,1,motion_blur_1,0.09022399
151,1,motion_blur_2,0.20076624
152,1,motion_blur_3,0.3100625
153,1,motion_blur_4,0.3100159
154,1,motion_blur_5,0.41529363
155,1,pixelate_1,0.015345072
156,1,pixelate_2,0.024949854
