corruption_type,mean,lower,upper,category
brightness_1,0.1007152896787,0.06208246464,0.14236668790999998,Lowest
brightness_2,0.367884175156,0.212868714275,0.5477738184500001,Mid-Range
brightness_3,0.595956521219,0.39565096127500005,0.818195294325,Mid-Range
brightness_4,0.801724890938,0.6408667557750001,0.9823486233500001,Highest
brightness_5,1.271228824409,1.1179920069,1.432526447425,Highest
contrast_1,0.2673556516356,0.12134091336000001,0.5023763689,Mid-Range
contrast_2,0.661057161742,0.43188915785000004,1.0087411104,Mid-Range
contrast_3,0.856981159624,0.6128684969500001,1.2251379708,Highest
contrast_4,1.0824643906400002,0.854653102,1.4613171556250002,Highest
contrast_5,1.6654497737800003,1.4288769217500001,2.04562867,Highest
defocus_blur_1,0.0036600924075499996,0.003154901346,0.00410844234075,Lowest
defocus_blur_2,0.022609932049100005,0.018772305247500003,0.025746111812500003,Lowest
defocus_blur_3,0.0560546979652,0.046572666049999996,0.06517004182499998,Lowest
defocus_blur_4,0.0985356782973,0.07946598925750002,0.11514186547000001,Lowest
defocus_blur_5,0.264184500351,0.20307546725000003,0.31637735025,Mid-Range
elastic_1,1.488427653196,1.2417766911500001,1.69312934325,Highest
elastic_2,1.320497809164,1.0873348153500002,1.519940542,Highest
elastic_3,1.128168192065,0.9395683332500001,1.294174102725,Highest
elastic_4,1.000576934363,0.8211693587250002,1.146146298425,Highest
elastic_5,0.733108457016,0.5984863176,0.8515212247000001,Mid-Range
fog_1,0.4974045609684,0.20746459867000003,0.9291629209300001,Mid-Range
fog_2,0.847336026712,0.45983781517500005,1.39681265535,Highest
fog_3,1.0850879211329998,0.7241319061000001,1.5920665061250001,Highest
fog_4,1.3477703350440002,0.9888290631499999,1.8523041561250002,Highest
fog_5,1.8079401997999998,1.4660971034999999,2.32555270475,Highest
frost_1,0.65705016713,0.4840879208,0.8601475681499999,Mid-Range
frost_2,1.0618480059980002,0.878729328,1.254363004425,Highest
frost_3,1.288930743136,1.122274663525,1.470828001825,Highest
frost_4,1.201874003939,1.0406887256750001,1.3841453082750002,Highest
frost_5,1.35224280301,1.1376971684999997,1.6046950577499997,Highest
frosted_glass_blur_1,0.5582204923440001,0.4501496507,0.6579483815999999,Mid-Range
frosted_glass_blur_2,0.5514221907760001,0.44333621889999997,0.6496981187749999,Mid-Range
frosted_glass_blur_3,0.527698779524,0.42162667009999993,0.6219852088250001,Mid-Range
frosted_glass_blur_4,1.1804895202699999,0.9677953138750002,1.3582747292500001,Highest
frosted_glass_blur_5,1.134114329281,0.96167992845,1.3101055181499999,Highest
gaussian_blur_1,0.0034982460510799996,0.0029819136547500004,0.00394148438375,Lowest
gaussian_blur_2,0.05395541191079999,0.043717290752500006,0.062387116900000004,Lowest
gaussian_blur_3,0.0947047444633,0.07820885005000001,0.10962887891249998,Lowest
gaussian_blur_4,0.140291801389,0.11724726890000003,0.162301625,Lowest
gaussian_blur_5,0.248326196909,0.205182794475,0.28712715745,Mid-Range
