approach,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(4),recall(4),f1-score(4),support(4),precision(5),recall(5),f1-score(5),support(5),precision(6),recall(6),f1-score(6),support(6),precision(7),recall(7),f1-score(7),support(7),precision(8),recall(8),f1-score(8),support(8),precision(9),recall(9),f1-score(9),support(9),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
Baseline,ResNet50,In-Distribution,2024-04-25 15:55:12.786994,451.0750870704651,1,0.5685,1.3362523317337036,0.580146460537022,0.713,0.6397487662628981,1000.0,0.5108153078202995,0.921,0.6571530503032466,1000.0,0.6298600311041991,0.405,0.4930006086427267,1000.0,0.3954900260190807,0.456,0.4235949837436135,1000.0,0.6229508196721312,0.418,0.5002992220227409,1000.0,0.6101449275362318,0.421,0.4982248520710058,1000.0,0.7992633517495396,0.434,0.5625405055087491,1000.0,0.5767599660729432,0.68,0.6241395135383204,1000.0,0.835742444152431,0.636,0.7223168654173764,1000.0,0.4525602409638554,0.601,0.5163230240549829,1000.0,0.6013733575627733,0.5685,0.563734139156566,10000.0,0.6013733575627733,0.5685,0.563734139156566,10000.0
Baseline,ResNet50,Brightness 3,2024-04-25 15:55:18.463012,451.0750870704651,1,0.538,1.466649055480957,0.5318084345961401,0.744,0.6202584410170906,1000.0,0.5828135828135829,0.841,0.6884977486696685,1000.0,0.616,0.308,0.4106666666666667,1000.0,0.3136136849607983,0.44,0.3662089055347482,1000.0,0.6,0.327,0.4233009708737864,1000.0,0.4649859943977591,0.498,0.4809270883631096,1000.0,0.834920634920635,0.263,0.4,1000.0,0.512,0.704,0.592842105263158,1000.0,0.7939759036144578,0.659,0.7202185792349727,1000.0,0.5326184092940125,0.596,0.5625294950448325,1000.0,0.5782736644597385,0.538,0.5265450000668033,10000.0,0.5782736644597386,0.538,0.5265450000668033,10000.0
Baseline,ResNet50,Contrast 3,2024-04-25 15:55:23.072899,451.0750870704651,1,0.3208,2.3125345706939697,0.4093645484949832,0.612,0.4905811623246492,1000.0,0.872093023255814,0.075,0.1381215469613259,1000.0,0.2281393819855358,0.347,0.2752875842919476,1000.0,0.2152690863579474,0.344,0.2648190916089299,1000.0,0.2425440172475745,0.675,0.3568596352101507,1000.0,0.3042836041358936,0.206,0.2456768038163387,1000.0,0.6807511737089202,0.145,0.2390766694146743,1000.0,0.5755813953488372,0.099,0.1689419795221843,1000.0,0.482233502538071,0.665,0.5590584279108869,1000.0,0.5263157894736842,0.04,0.0743494423791821,1000.0,0.453657552254726,0.3208,0.2812772343440269,10000.0,0.4536575522547262,0.3208,0.281277234344027,10000.0
Baseline,ResNet50,Defocus Blur 3,2024-04-25 15:55:27.640868,451.0750870704651,1,0.5666,1.2817764282226562,0.5627035830618893,0.691,0.6202872531418312,1000.0,0.6128093158660844,0.842,0.7093513058129739,1000.0,0.4922394678492239,0.444,0.4668769716088328,1000.0,0.3538241601143674,0.495,0.4126719466444352,1000.0,0.5168884339815762,0.505,0.5108750632271118,1000.0,0.544496487119438,0.465,0.5016181229773463,1000.0,0.8579881656804734,0.29,0.4334828101644245,1000.0,0.640124095139607,0.619,0.6293848500254193,1000.0,0.724268177525968,0.767,0.7450218552695483,1000.0,0.6075388026607539,0.548,0.5762355415352262,1000.0,0.5912880688999381,0.5666,0.5605805720407149,10000.0,0.5912880688999381,0.5666,0.560580572040715,10000.0
Baseline,ResNet50,Elastic 3,2024-04-25 15:55:32.244918,451.0750870704651,1,0.5555,1.3326560258865356,0.5395849346656418,0.702,0.6101694915254237,1000.0,0.6047548291233283,0.814,0.6939471440750212,1000.0,0.4819148936170213,0.453,0.4670103092783505,1000.0,0.3463449254790631,0.488,0.4051473640514736,1000.0,0.511727078891258,0.48,0.4953560371517028,1000.0,0.5476804123711341,0.425,0.4786036036036035,1000.0,0.8392857142857143,0.282,0.4221556886227545,1000.0,0.6219758064516129,0.617,0.6194779116465863,1000.0,0.7119301648884578,0.734,0.7227966518956179,1000.0,0.6015037593984962,0.56,0.5800103573278094,1000.0,0.5806702519171728,0.5555,0.5494674559178344,10000.0,0.5806702519171728,0.5555,0.5494674559178343,10000.0
Baseline,ResNet50,Fog 3,2024-04-25 15:55:36.845231,451.0750870704651,1,0.4646,1.5586329698562622,0.4674556213017751,0.632,0.5374149659863945,1000.0,0.7772657450076805,0.506,0.612961841308298,1000.0,0.3414459556191839,0.477,0.3979974968710889,1000.0,0.2619745845552297,0.536,0.3519369665134603,1000.0,0.3861308116627265,0.49,0.4319083296606434,1000.0,0.4529505582137161,0.284,0.3491087891825445,1000.0,0.8682926829268293,0.178,0.2954356846473028,1000.0,0.6734348561759729,0.398,0.5003142677561283,1000.0,0.5809450038729667,0.75,0.6547359231776516,1000.0,0.691768826619965,0.395,0.5028644175684277,1000.0,0.5501664645956046,0.4645999999999999,0.4634678682671939,10000.0,0.5501664645956045,0.4646,0.463467868267194,10000.0
Baseline,ResNet50,Frost 3,2024-04-25 15:55:41.432988,451.0750870704651,1,0.4333,1.908702373504639,0.4173180998196031,0.694,0.5212166729252722,1000.0,0.6291793313069909,0.621,0.6250629089079014,1000.0,0.4844290657439446,0.14,0.21722265321955,1000.0,0.2276595744680851,0.535,0.3194029850746269,1000.0,0.5256410256410257,0.164,0.25,1000.0,0.33800494641385,0.41,0.3705377315860822,1000.0,0.6987179487179487,0.109,0.1885813148788927,1000.0,0.5270142180094787,0.556,0.5411192214111922,1000.0,0.6351931330472103,0.592,0.6128364389233953,1000.0,0.4908916586768935,0.512,0.5012236906510035,1000.0,0.497404900184503,0.4333,0.4147203617577916,10000.0,0.4974049001845031,0.4333,0.4147203617577916,10000.0
Baseline,ResNet50,Frosted Glass Blur 3,2024-04-25 15:55:46.053357,451.0750870704651,1,0.5544,1.3215858936309814,0.561216105176664,0.683,0.6161479476770411,1000.0,0.572995202193283,0.836,0.6799511996746644,1000.0,0.5253164556962026,0.415,0.4636871508379889,1000.0,0.3601168736303871,0.493,0.416209371042634,1000.0,0.5472972972972973,0.486,0.5148305084745763,1000.0,0.5563002680965148,0.415,0.4753722794959908,1000.0,0.7728937728937729,0.422,0.5459249676584735,1000.0,0.6205821205821206,0.597,0.6085626911314985,1000.0,0.7899159663865546,0.564,0.6581096849474912,1000.0,0.4835752482811306,0.633,0.5482893027284539,1000.0,0.5790209310233927,0.5544,0.5527085103668812,10000.0,0.5790209310233928,0.5544,0.5527085103668813,10000.0
Baseline,ResNet50,Gaussian Blur 3,2024-04-25 15:55:50.629599,451.0750870704651,1,0.5515,1.3213589191436768,0.5556464811783961,0.679,0.6111611161116112,1000.0,0.636583400483481,0.79,0.7050423917893799,1000.0,0.4614594039054471,0.449,0.4551444500760264,1000.0,0.3412644459551325,0.502,0.4063132335087008,1000.0,0.4747010119595216,0.516,0.4944896981312889,1000.0,0.5125958378970427,0.468,0.4892838473601673,1000.0,0.8814814814814815,0.238,0.3748031496062992,1000.0,0.6741176470588235,0.573,0.6194594594594593,1000.0,0.6649789029535865,0.788,0.7212814645308925,1000.0,0.649746192893401,0.512,0.5727069351230425,1000.0,0.5852574805766314,0.5515000000000001,0.5449685745696867,10000.0,0.5852574805766314,0.5515,0.5449685745696868,10000.0
Baseline,ResNet50,Gaussian Noise 3,2024-04-25 15:55:55.227917,451.0750870704651,1,0.4629,1.7474644184112549,0.6015037593984962,0.56,0.5800103573278094,1000.0,0.4328140214216163,0.889,0.5821872953503602,1000.0,0.6227758007117438,0.175,0.273224043715847,1000.0,0.3430717863105175,0.411,0.3739763421292084,1000.0,0.5822784810126582,0.276,0.3744911804613297,1000.0,0.6509433962264151,0.276,0.3876404494382023,1000.0,0.5417515274949084,0.532,0.5368314833501514,1000.0,0.5642512077294686,0.584,0.573955773955774,1000.0,0.8571428571428571,0.276,0.4175491679273828,1000.0,0.2827316224445411,0.65,0.3940588056986965,1000.0,0.5479264459893223,0.4629,0.4493924899354761,10000.0,0.5479264459893222,0.4629,0.4493924899354761,10000.0
Baseline,ResNet50,Impulse Noise 3,2024-04-25 15:55:59.844787,451.0750870704651,1,0.4344,1.9457719326019287,0.5887290167865707,0.491,0.5354416575790621,1000.0,0.4035730645900137,0.881,0.5535658184103047,1000.0,0.6113207547169811,0.162,0.2561264822134387,1000.0,0.3321917808219178,0.388,0.3579335793357933,1000.0,0.6078947368421053,0.231,0.3347826086956522,1000.0,0.6693766937669376,0.247,0.3608473338203067,1000.0,0.5249237029501526,0.516,0.5204236006051437,1000.0,0.5392061955469506,0.557,0.5479586817511067,1000.0,0.8526785714285714,0.191,0.3120915032679738,1000.0,0.2655212807497071,0.68,0.3819151923616961,1000.0,0.5395415798199907,0.4343999999999999,0.4161086458040477,10000.0,0.5395415798199908,0.4344,0.4161086458040479,10000.0
Baseline,ResNet50,Jpeg Compression 3,2024-04-25 15:56:04.467802,451.0750870704651,1,0.5622,1.3508422374725342,0.5991266375545852,0.686,0.6396270396270397,1000.0,0.5276145710928319,0.898,0.6646928201332346,1000.0,0.6343537414965986,0.373,0.4697732997481109,1000.0,0.3734542456718879,0.453,0.4093990058743786,1000.0,0.5985401459854015,0.41,0.486646884272997,1000.0,0.5852981969486823,0.422,0.4904125508425334,1000.0,0.7879341864716636,0.431,0.5572074983839689,1000.0,0.5671641791044776,0.684,0.6201269265639165,1000.0,0.8099489795918368,0.635,0.7118834080717489,1000.0,0.4471256210078069,0.63,0.523038605230386,1000.0,0.5930560504925773,0.5622,0.5572808038748315,10000.0,0.5930560504925773,0.5622,0.5572808038748314,10000.0
Baseline,ResNet50,Motion Blur 3,2024-04-25 15:56:09.087949,451.0750870704651,1,0.4845,1.5522537231445312,0.40870062965083,0.714,0.5198398252639242,1000.0,0.5736625514403292,0.697,0.6293453724604966,1000.0,0.3471428571428571,0.486,0.4049999999999999,1000.0,0.3396567299006323,0.376,0.3569055529188419,1000.0,0.4579918032786885,0.447,0.4524291497975708,1000.0,0.557037037037037,0.376,0.448955223880597,1000.0,0.8502202643171806,0.193,0.3145884270578646,1000.0,0.766260162601626,0.377,0.5053619302949061,1000.0,0.5155666251556662,0.828,0.6354566385264774,1000.0,0.6324324324324324,0.351,0.4514469453376205,1000.0,0.544867109295728,0.4845,0.4719329065538299,10000.0,0.5448671092957279,0.4845,0.4719329065538299,10000.0
Baseline,ResNet50,Pixelate 3,2024-04-25 15:56:13.710375,451.0750870704651,1,0.5684,1.314637303352356,0.5697018533440773,0.707,0.6309683177153056,1000.0,0.5383693045563549,0.898,0.6731634182908546,1000.0,0.5988286969253295,0.409,0.4860368389780155,1000.0,0.3797364085667216,0.461,0.4164408310749774,1000.0,0.5721716514954487,0.44,0.497456189937818,1000.0,0.5932432432432433,0.439,0.5045977011494253,1000.0,0.8088531187122736,0.402,0.5370741482965933,1000.0,0.5812937062937062,0.665,0.6203358208955223,1000.0,0.818070818070818,0.67,0.7366684991753711,1000.0,0.4840816326530612,0.593,0.5330337078651685,1000.0,0.5944350433861034,0.5684,0.5635775473379051,10000.0,0.5944350433861034,0.5684,0.5635775473379051,10000.0
Baseline,ResNet50,Saturate 3,2024-04-25 15:56:18.355397,451.0750870704651,1,0.5524,1.4076762199401855,0.5439814814814815,0.705,0.6141114982578397,1000.0,0.459921798631476,0.941,0.6178594878529219,1000.0,0.6087636932707355,0.389,0.474679682733374,1000.0,0.4192269573835481,0.423,0.4211050273768044,1000.0,0.6053811659192825,0.405,0.4853205512282804,1000.0,0.6233974358974359,0.389,0.479064039408867,1000.0,0.7168758716875872,0.514,0.5987186953989517,1000.0,0.5711743772241993,0.642,0.6045197740112994,1000.0,0.8379120879120879,0.61,0.7060185185185185,1000.0,0.440766550522648,0.506,0.4711359404096834,1000.0,0.5827401419930481,0.5524000000000001,0.547253321519654,10000.0,0.5827401419930482,0.5524,0.5472533215196541,10000.0
Baseline,ResNet50,Shot Noise 3,2024-04-25 15:56:22.900194,451.0750870704651,1,0.5061,1.5543571710586548,0.6074766355140186,0.585,0.5960264900662251,1000.0,0.4610687022900763,0.906,0.6111298482293424,1000.0,0.6071428571428571,0.255,0.3591549295774647,1000.0,0.3421052631578947,0.455,0.3905579399141631,1000.0,0.5927835051546392,0.345,0.4361567635903919,1000.0,0.6365591397849463,0.296,0.4040955631399318,1000.0,0.6475,0.518,0.5755555555555556,1000.0,0.5651793525809273,0.646,0.6028931404573028,1000.0,0.852589641434263,0.428,0.5699067909454061,1000.0,0.3426229508196721,0.627,0.4431095406360424,1000.0,0.5655028047879295,0.5061,0.4988586562111825,10000.0,0.5655028047879295,0.5061,0.4988586562111825,10000.0
Baseline,ResNet50,Snow 3,2024-04-25 15:56:27.557111,451.0750870704651,1,0.4586,1.80859375,0.6060301507537689,0.603,0.6045112781954888,1000.0,0.5248041775456919,0.804,0.6350710900473935,1000.0,0.6384976525821596,0.136,0.224237427864798,1000.0,0.2446531038080333,0.469,0.3215632499142954,1000.0,0.6114285714285714,0.214,0.317037037037037,1000.0,0.4592760180995475,0.406,0.4309978768577494,1000.0,0.7706766917293233,0.205,0.3238546603475513,1000.0,0.4570446735395189,0.665,0.5417515274949084,1000.0,0.8548009367681498,0.365,0.5115627189908899,1000.0,0.3666496685364609,0.719,0.4856467409658898,1000.0,0.5533861644791225,0.4586,0.4396233607716001,10000.0,0.5533861644791226,0.4586,0.4396233607716002,10000.0
Baseline,ResNet50,Spatter 3,2024-04-25 15:56:32.145337,451.0750870704651,1,0.4637,1.778807282447815,0.5863095238095238,0.591,0.5886454183266931,1000.0,0.4355889724310777,0.869,0.5803005008347245,1000.0,0.6270627062706271,0.19,0.2916346891788181,1000.0,0.3153284671532846,0.432,0.3645569620253164,1000.0,0.6584766584766585,0.268,0.380952380952381,1000.0,0.6007827788649707,0.307,0.4063534083388485,1000.0,0.642512077294686,0.399,0.4922887106724244,1000.0,0.525629887054735,0.605,0.5625290562529057,1000.0,0.850415512465374,0.307,0.4511388684790595,1000.0,0.2943246810382754,0.669,0.4087992667277727,1000.0,0.5536431264859212,0.4636999999999999,0.4527199261788944,10000.0,0.5536431264859213,0.4637,0.4527199261788945,10000.0
Baseline,ResNet50,Speckle Noise 3,2024-04-25 15:56:36.774935,451.0750870704651,1,0.5194,1.4927122592926023,0.6073997944501541,0.591,0.5990876837303598,1000.0,0.465879938429964,0.908,0.615801966768396,1000.0,0.6118143459915611,0.29,0.3934871099050203,1000.0,0.3512304250559284,0.471,0.4023921401110636,1000.0,0.5772727272727273,0.381,0.4590361445783132,1000.0,0.6374269005847953,0.327,0.4322538003965631,1000.0,0.7097242380261248,0.489,0.5790408525754884,1000.0,0.5655526992287918,0.66,0.6091370558375635,1000.0,0.8269230769230769,0.473,0.6017811704834605,1000.0,0.3634175691937424,0.604,0.4537941397445529,1000.0,0.5716641715156866,0.5194,0.5145812064130781,10000.0,0.5716641715156867,0.5194,0.5145812064130781,10000.0
Baseline,ResNet50,Zoom Blur 3,2024-04-25 15:56:41.343389,451.0750870704651,1,0.5431,1.3588781356811523,0.5090252707581228,0.705,0.5911949685534592,1000.0,0.6346955796497081,0.761,0.6921327876307413,1000.0,0.4515800203873598,0.443,0.447248864209995,1000.0,0.3553903345724907,0.478,0.4076759061833689,1000.0,0.4612612612612612,0.512,0.485308056872038,1000.0,0.5177610333692142,0.481,0.4987039917055469,1000.0,0.8649789029535865,0.205,0.3314470493128537,1000.0,0.6430868167202572,0.6,0.620796689084325,1000.0,0.6631486367634125,0.754,0.7056621431913898,1000.0,0.6612903225806451,0.492,0.5642201834862386,1000.0,0.5762218179016058,0.5431,0.5344390640229956,10000.0,0.5762218179016059,0.5431,0.5344390640229957,10000.0
Baseline,ResNet50,In-Distribution,2024-04-25 16:05:51.521802,543.4238660335541,2,0.651,1.104243516921997,0.697286012526096,0.668,0.6823289070480083,1000.0,0.8599311136624569,0.749,0.8006413682522715,1000.0,0.5738255033557047,0.513,0.5417106652587117,1000.0,0.44,0.517,0.4754022988505747,1000.0,0.7112781954887218,0.473,0.5681681681681682,1000.0,0.6783004552352049,0.447,0.5388788426763111,1000.0,0.6740237691001698,0.794,0.7291092745638201,1000.0,0.6954732510288066,0.676,0.6855983772819474,1000.0,0.7301587301587301,0.828,0.7760074976569822,1000.0,0.5655957161981259,0.845,0.6776263031275059,1000.0,0.6625872746754017,0.651,0.6475471702884301,10000.0,0.6625872746754018,0.651,0.64754717028843,10000.0
Baseline,ResNet50,Brightness 3,2024-04-25 16:05:57.239289,543.4238660335541,2,0.6311,1.1693010330200195,0.6146469049694856,0.705,0.6567303213786678,1000.0,0.85297845373891,0.673,0.7523756288429291,1000.0,0.5807200929152149,0.5,0.537345513164965,1000.0,0.3974833456698741,0.537,0.4568268821777966,1000.0,0.6537467700258398,0.506,0.5704622322435176,1000.0,0.6005221932114883,0.46,0.5209513023782559,1000.0,0.7481713688610241,0.716,0.7317322432294329,1000.0,0.6974206349206349,0.703,0.700199203187251,1000.0,0.6723842195540308,0.784,0.7239150507848567,1000.0,0.615580016934801,0.727,0.6666666666666666,1000.0,0.6433654000801303,0.6311,0.631720504405434,10000.0,0.6433654000801304,0.6311,0.631720504405434,10000.0
