dataset,corruption,values,violations,violation_ratio
cifar10,frost,"[0.04272, 0.06674, 0.07123, 0.06226, 0.05841]",2,0.5
cifar10,frosted_glass_blur,"[0.00847, 0.00673, 0.00957, 0.01198, 0.00833]",2,0.5
cifar100,frost,"[0.03352, 0.0522, 0.05594, 0.04972, 0.0489]",2,0.5
cifar100,frosted_glass_blur,"[0.00758, 0.00567, 0.00906, 0.01064, 0.00743]",2,0.5
cifar10,elastic,"[0.01529, 0.01834, 0.02399, 0.02471, 0.02204]",1,0.25
cifar10,motion_blur,"[0.01843, 0.02649, 0.03263, 0.03256, 0.03748]",1,0.25
cifar10,saturate,"[0.02623, 0.03126, 0.02754, 0.06852, 0.10345]",1,0.25
cifar10,spatter,"[0.00676, 0.01633, 0.02708, 0.01674, 0.02887]",1,0.25
cifar100,elastic,"[0.01467, 0.01764, 0.02319, 0.02394, 0.02124]",1,0.25
cifar100,saturate,"[0.02708, 0.03186, 0.02586, 0.0564, 0.08116]",1,0.25
cifar100,spatter,"[0.00616, 0.015, 0.02441, 0.01615, 0.0279]",1,0.25
