strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(4),recall(4),f1-score(4),support(4),precision(5),recall(5),f1-score(5),support(5),precision(6),recall(6),f1-score(6),support(6),precision(7),recall(7),f1-score(7),support(7),precision(8),recall(8),f1-score(8),support(8),precision(9),recall(9),f1-score(9),support(9),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
Baseline,ResNet50,In-Distribution,2024-09-04 16:46:23.579555,1286.8081946372986,1,0.1533593101540164,0.9345393180847168,0.192747232970395,0.2592121982210927,0.2210925605759554,16527.0,0.1395487378062402,0.1531921850731627,0.1460525290312524,12233.0,0.1266963292547274,0.105511811023622,0.1151377306039929,10795.0,0.1424667195627259,0.1315211198828029,0.1367752856538299,12287.0,0.1448645886561063,0.1380793895608409,0.1413906321433024,12319.0,0.1063782829397484,0.0523003472222222,0.0701243907761693,9216.0,,,,,0.1523855554788372,0.165108102042343,0.158491921005386,13367.0,,,,,,,,,0.1435839209526829,0.1435607361465838,0.1412950071128412,86744.0,0.1477072250503823,0.1533593101540164,0.1483762123469329,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 17:04:19.554590,1032.8208074569702,2,0.1437793968458913,1.079311490058899,0.1908435777871979,0.136201367459309,0.1589577007273497,16527.0,0.1459008010908471,0.2099239761301397,0.1721525775960313,12233.0,0.1213888512138885,0.1658175081056044,0.1401667906503269,10795.0,0.1420118343195266,0.1191503214779848,0.1295804567180031,12287.0,0.1442316179715773,0.1326406364152934,0.1381935047361299,12319.0,0.1036087271223244,0.1087239583333333,0.1061047281198708,9216.0,,,,,0.1561144071548747,0.1318919727687588,0.1429845904298459,13367.0,,,,,,,,,0.1434428309514624,0.1434785343843462,0.1411629069967939,86744.0,0.1477058583690136,0.1437793968458913,0.143293299339325,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 17:27:54.578797,1372.194839000702,3,0.1466729687355897,0.8380793333053589,0.19387481570835,0.1750468929630302,0.1839804127317243,16527.0,0.1359843777738327,0.1252350200277937,0.1303885271713689,12233.0,0.1258307986932522,0.1034738304770727,0.1135624237494916,10795.0,0.140057636887608,0.1582160006510946,0.1485840944701341,12287.0,0.1419947994056463,0.1241172173065995,0.1324554944340971,12319.0,0.1036593850006957,0.0808376736111111,0.0908370420045113,9216.0,,,,,0.1493146543035678,0.2216652951297972,0.1784348559212309,13367.0,,,,,,,,,0.1415309239675647,0.1412274185952141,0.1397489786403654,86744.0,0.1458008097271425,0.1466729687355897,0.144577819807493,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 17:48:06.775362,1169.246839761734,4,0.1481139905930093,1.0341196060180664,0.1896962140104284,0.2025170932413626,0.1958971057329314,16527.0,0.1417007293419892,0.1445270988310308,0.1430999595305544,12233.0,0.1255466215263083,0.0824455766558591,0.0995303064191456,10795.0,0.1441477614936759,0.1753072352893301,0.1582078589790672,12287.0,0.1432446396280031,0.090023540871824,0.1105627835102936,12319.0,0.10437484255605,0.1348741319444444,0.117680473372781,9216.0,,,,,0.156425702811245,0.1748335452981222,0.1651181686508637,13367.0,,,,,,,,,0.1435909301953857,0.143504031733139,0.1414423794565195,86744.0,0.1477041099083745,0.1481139905930093,0.145948580022582,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 18:11:34.460436,1365.0080962181091,5,0.1465807433367149,0.9407876133918762,0.1880126552613077,0.1941671204695347,0.1910403333829438,16527.0,0.1443622733259041,0.1164881876890378,0.1289359391965255,12233.0,0.1243086408559252,0.1270032422417786,0.125641495601173,10795.0,0.1482394965130124,0.1418572474973549,0.1449781659388646,12287.0,0.1439184268026219,0.1604026300836107,0.1517140773158278,12319.0,0.1064890550751733,0.1483289930555555,0.1239740624858296,9216.0,,,,,0.1553918285331547,0.1214932295952719,0.1363674531866655,13367.0,,,,,,,,,0.1443889109095856,0.1442486643760206,0.1432359324439757,86744.0,0.1483452010300596,0.1465807433367149,0.1464836533822022,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 18:30:33.423855,1095.6184043884275,6,0.1528866549847828,1.020278811454773,0.1907394920206788,0.2567314092091728,0.2188692871144124,16527.0,0.1480537534754402,0.1567072672279898,0.1522576545808347,12233.0,0.1186153062956049,0.0647522000926354,0.0837727708533077,10795.0,0.1446505431440869,0.2297550256368519,0.1775304216583341,12287.0,0.1424334788697586,0.1403523013231593,0.1413852318259874,12319.0,0.1091570648878108,0.09765625,0.1030868793310807,9216.0,,,,,0.1651615144147273,0.0711453579711229,0.0994509803921568,13367.0,,,,,,,,,0.1455444504440153,0.1452999730658475,0.1394790322508734,86744.0,0.1497464966493077,0.1528866549847828,0.1451005090217905,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 18:49:38.748916,1102.478331565857,7,0.1507193581112238,1.0333585739135742,0.1904438185879382,0.2373086464573122,0.211308962581827,16527.0,0.1417769376181474,0.1410120166762037,0.1413934426229508,12233.0,0.1324434126523505,0.1056970819823992,0.1175682637815559,10795.0,0.1434162062615101,0.1521119882802962,0.1476361625656621,12287.0,0.1426963763223047,0.1543956489974835,0.1483156581409856,12319.0,0.1125896662854766,0.1175130208333333,0.1149986726838332,9216.0,,,,,0.1525351512569237,0.1071294980175057,0.1258624478136673,13367.0,,,,,,,,,0.1451287955692359,0.1450239858920763,0.1438690871700688,86744.0,0.148807343733926,0.1507193581112238,0.1484189782023068,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 19:12:01.922058,1300.7860896587372,8,0.1462118417412155,0.8472517728805542,0.1901699275607609,0.169964300841048,0.1795002875583104,16527.0,0.1396058839855675,0.1233548598054442,0.1309782136967277,12233.0,0.127564674397859,0.1589624826308476,0.1415432837052006,10795.0,0.1349547407881503,0.1201269634573126,0.1271098863244919,12287.0,0.1443868273957842,0.1740401006575209,0.1578327444051825,12319.0,0.1063676699844106,0.0962456597222222,0.1010538308174309,9216.0,,,,,0.1576506955177743,0.1602453804144535,0.1589374489871633,13367.0,,,,,,,,,0.1429572028043295,0.1432771067898356,0.142422242213501,86744.0,0.1470106215073333,0.1462118417412155,0.1459327126400355,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 19:34:22.704395,1298.2582731246948,9,0.146649912385871,0.8714215755462646,0.1905791077860903,0.2080837417559145,0.1989471248409117,16527.0,0.1402961808261886,0.1324286765306956,0.1362489486963835,12233.0,0.1211318355235269,0.1058823529411764,0.1129949088033216,10795.0,0.1364787611259859,0.1534955644176772,0.1444878571975791,12287.0,0.1393800229621125,0.1970939199610357,0.1632872658798211,12319.0,0.1047855992975267,0.0776909722222222,0.0892267430992585,9216.0,,,,,0.1543965159684778,0.1113937308296551,0.129416366085785,13367.0,,,,,,,,,0.1410068604985584,0.1408669940940538,0.1392298878004372,86744.0,0.1452206678479878,0.146649912385871,0.1442588873214526,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 19:53:20.955347,1095.0177495479584,10,0.1490362445817578,1.0664677619934082,0.1883212371329633,0.2402129848127306,0.2111252924909593,16527.0,0.142182621277892,0.1526199623967955,0.1472165273616149,12233.0,0.123099978591308,0.1065308012968967,0.1142176093757759,10795.0,0.1429948586118252,0.1448685602669488,0.1439256114817061,12287.0,0.1387086808773555,0.1457910544687068,0.1421617129061622,12319.0,0.105299860529986,0.0819227430555555,0.092151836933968,9216.0,,,,,0.1515436746987951,0.1204458741677265,0.134216998040932,13367.0,,,,,,,,,0.1417358445314464,0.1417702829236229,0.140716512655874,86744.0,0.1457441119030353,0.1490362445817578,0.14624873942852,86744.0
