Approach,Model,Corruption Type,Date,Training Time,Fscore
Baseline,ResNet50,in-sample,2024-04-17 09:53:47.637056,1158.7886130809784,0.7357319268337967
Baseline,ResNet50,brightness_3,2024-04-17 09:53:50.672919,1158.7886130809784,0.6929338167395851
Baseline,ResNet50,contrast_3,2024-04-17 09:53:53.161833,1158.7886130809784,0.3856879505578033
Baseline,ResNet50,defocus_blur_3,2024-04-17 09:53:55.663258,1158.7886130809784,0.7053342507697786
Baseline,ResNet50,elastic_3,2024-04-17 09:53:58.164168,1158.7886130809784,0.6655970085395523
Baseline,ResNet50,fog_3,2024-04-17 09:54:00.636266,1158.7886130809784,0.5743703151776961
Baseline,ResNet50,frost_3,2024-04-17 09:54:03.097071,1158.7886130809784,0.5277079822302027
Baseline,ResNet50,frosted_glass_blur_3,2024-04-17 09:54:05.583611,1158.7886130809784,0.6311009175623539
Baseline,ResNet50,gaussian_blur_3,2024-04-17 09:54:08.045387,1158.7886130809784,0.6750145421951049
Baseline,ResNet50,gaussian_noise_3,2024-04-17 09:54:10.512478,1158.7886130809784,0.6181025808761902
Baseline,ResNet50,impulse_noise_3,2024-04-17 09:54:12.969806,1158.7886130809784,0.5891588490026389
Baseline,ResNet50,jpeg_compression_3,2024-04-17 09:54:15.424118,1158.7886130809784,0.7072818851735014
Baseline,ResNet50,motion_blur_3,2024-04-17 09:54:17.899170,1158.7886130809784,0.5672795313444539
Baseline,ResNet50,pixelate_3,2024-04-17 09:54:20.368264,1158.7886130809784,0.7154218688669682
Baseline,ResNet50,saturate_3,2024-04-17 09:54:22.841165,1158.7886130809784,0.7332091876447359
Baseline,ResNet50,shot_noise_3,2024-04-17 09:54:25.311921,1158.7886130809784,0.6592250622057836
Baseline,ResNet50,snow_3,2024-04-17 09:54:27.768092,1158.7886130809784,0.6120651034164721
Baseline,ResNet50,spatter_3,2024-04-17 09:54:30.230514,1158.7886130809784,0.6078166502913614
Baseline,ResNet50,speckle_noise_3,2024-04-17 09:54:32.697108,1158.7886130809784,0.6804627944724656
Baseline,ResNet50,zoom_blur_3,2024-04-17 09:54:35.153247,1158.7886130809784,0.6450565307544232
Baseline,ResNet50,in-sample,2024-04-17 10:12:08.943439,1049.0242853164673,0.7195011453082854
Baseline,ResNet50,brightness_3,2024-04-17 10:12:12.903480,1049.0242853164673,0.7051232700731138
Baseline,ResNet50,contrast_3,2024-04-17 10:12:15.386431,1049.0242853164673,0.4434637044082815
Baseline,ResNet50,defocus_blur_3,2024-04-17 10:12:17.846921,1049.0242853164673,0.6921248286055818
Baseline,ResNet50,elastic_3,2024-04-17 10:12:20.302270,1049.0242853164673,0.6647279760132742
Baseline,ResNet50,fog_3,2024-04-17 10:12:22.761362,1049.0242853164673,0.625877601119959
Baseline,ResNet50,frost_3,2024-04-17 10:12:25.232804,1049.0242853164673,0.5849744795884362
