Approach,Model,Corruption Type,Date,Fscore
Baseline,ResNet50,brightness_3,2024-04-12 19:49:07.213200,0.7182091487218075
Baseline,ResNet50,contrast_3,2024-04-12 19:49:09.552900,0.2405867620343019
Baseline,ResNet50,defocus_blur_3,2024-04-12 19:49:11.900981,0.6576729687392948
Baseline,ResNet50,elastic_3,2024-04-12 19:49:14.232542,0.6070327414996779
Baseline,ResNet50,fog_3,2024-04-12 19:49:16.588173,0.4664453898146526
Baseline,ResNet50,frost_3,2024-04-12 19:49:18.927279,0.5339557149048697
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 19:49:21.275868,0.6598298124117054
Baseline,ResNet50,gaussian_blur_3,2024-04-12 19:49:23.624273,0.5971673924213606
Baseline,ResNet50,gaussian_noise_3,2024-04-12 19:49:25.968497,0.7028494143594344
Baseline,ResNet50,impulse_noise_3,2024-04-12 19:49:28.351212,0.6552921447031806
Baseline,ResNet50,jpeg_compression_3,2024-04-12 19:49:30.687996,0.7402199695489076
Baseline,ResNet50,motion_blur_3,2024-04-12 19:49:33.016812,0.526171965176851
Baseline,ResNet50,pixelate_3,2024-04-12 19:49:35.380597,0.7323273244358264
Baseline,ResNet50,saturate_3,2024-04-12 19:49:37.723512,0.7608614406422317
Baseline,ResNet50,shot_noise_3,2024-04-12 19:49:40.063272,0.7229912289920037
Baseline,ResNet50,snow_3,2024-04-12 19:49:42.391868,0.6535397364250554
Baseline,ResNet50,spatter_3,2024-04-12 19:49:44.724025,0.6651674470025497
Baseline,ResNet50,speckle_noise_3,2024-04-12 19:49:47.063687,0.726905347561889
Baseline,ResNet50,zoom_blur_3,2024-04-12 19:49:49.392992,0.567035083985276
Baseline,ResNet50,brightness_3,2024-04-12 19:58:59.047304,0.9044334607842914
Baseline,ResNet50,contrast_3,2024-04-12 19:59:01.385140,0.4934331889536714
Baseline,ResNet50,defocus_blur_3,2024-04-12 19:59:03.707586,0.8459395215102976
Baseline,ResNet50,elastic_3,2024-04-12 19:59:06.037361,0.7655901365792313
Baseline,ResNet50,fog_3,2024-04-12 19:59:08.353233,0.6973150459803379
Baseline,ResNet50,frost_3,2024-04-12 19:59:10.673488,0.7113568479896674
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 19:59:13.036565,0.7781939883289699
Baseline,ResNet50,gaussian_blur_3,2024-04-12 19:59:15.343713,0.7720663231572319
Baseline,ResNet50,gaussian_noise_3,2024-04-12 19:59:17.671627,0.7562770053902201
Baseline,ResNet50,impulse_noise_3,2024-04-12 19:59:20.052656,0.7186319639579164
Baseline,ResNet50,jpeg_compression_3,2024-04-12 19:59:22.395948,0.9034949733763896
Baseline,ResNet50,motion_blur_3,2024-04-12 19:59:24.730134,0.6269830198096982
Baseline,ResNet50,pixelate_3,2024-04-12 19:59:27.061087,0.9170417168657934
Baseline,ResNet50,saturate_3,2024-04-12 19:59:29.378477,0.9336352268189656
Baseline,ResNet50,shot_noise_3,2024-04-12 19:59:31.705219,0.817003692363401
Baseline,ResNet50,snow_3,2024-04-12 19:59:34.103618,0.7976226949777943
Baseline,ResNet50,spatter_3,2024-04-12 19:59:36.427618,0.7847612213159948
Baseline,ResNet50,speckle_noise_3,2024-04-12 19:59:38.763754,0.8448948907878808
Baseline,ResNet50,zoom_blur_3,2024-04-12 19:59:41.091899,0.7571397804819917
Baseline,ResNet50,brightness_3,2024-04-12 20:11:41.640461,0.9234600422384162
Baseline,ResNet50,contrast_3,2024-04-12 20:11:43.965232,0.5403884942297706
Baseline,ResNet50,defocus_blur_3,2024-04-12 20:11:46.293952,0.8793341239740526
Baseline,ResNet50,elastic_3,2024-04-12 20:11:48.635670,0.8061713112675907
Baseline,ResNet50,fog_3,2024-04-12 20:11:50.967012,0.7159336750285645
Baseline,ResNet50,frost_3,2024-04-12 20:11:53.311339,0.7523733830088459
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 20:11:55.667207,0.7761029756439614
Baseline,ResNet50,gaussian_blur_3,2024-04-12 20:11:57.995663,0.8080575876532062
Baseline,ResNet50,gaussian_noise_3,2024-04-12 20:12:00.337260,0.7845178714647422
Baseline,ResNet50,impulse_noise_3,2024-04-12 20:12:02.683185,0.7313719538804936
Baseline,ResNet50,jpeg_compression_3,2024-04-12 20:12:05.004655,0.92009712266606
Baseline,ResNet50,motion_blur_3,2024-04-12 20:12:07.342811,0.6988773986944806
Baseline,ResNet50,pixelate_3,2024-04-12 20:12:09.690887,0.9465707287182262
Baseline,ResNet50,saturate_3,2024-04-12 20:12:12.013692,0.9510682537963152
Baseline,ResNet50,shot_noise_3,2024-04-12 20:12:14.351868,0.8404852328219649
Baseline,ResNet50,snow_3,2024-04-12 20:12:16.683073,0.7955884952908814
Baseline,ResNet50,spatter_3,2024-04-12 20:12:19.047097,0.7767788613594715
Baseline,ResNet50,speckle_noise_3,2024-04-12 20:12:21.376345,0.8712933708053333
Baseline,ResNet50,zoom_blur_3,2024-04-12 20:12:23.712253,0.7825314814056014
Baseline,ResNet50,brightness_3,2024-04-12 20:23:38.858957,0.9229996371450078
Baseline,ResNet50,contrast_3,2024-04-12 20:23:42.156299,0.4825000551749395
Baseline,ResNet50,defocus_blur_3,2024-04-12 20:23:44.497939,0.8481265145692938
Baseline,ResNet50,elastic_3,2024-04-12 20:23:46.817084,0.7717913655387049
Baseline,ResNet50,fog_3,2024-04-12 20:23:49.157439,0.693422247708976
Baseline,ResNet50,frost_3,2024-04-12 20:23:51.477723,0.7406270442814673
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 20:23:53.821312,0.7562091351582001
Baseline,ResNet50,gaussian_blur_3,2024-04-12 20:23:56.157555,0.7776955034851207
Baseline,ResNet50,gaussian_noise_3,2024-04-12 20:23:58.485110,0.7698345052078763
Baseline,ResNet50,impulse_noise_3,2024-04-12 20:24:00.812376,0.731720918620831
Baseline,ResNet50,jpeg_compression_3,2024-04-12 20:24:03.148927,0.8972962452341726
Baseline,ResNet50,motion_blur_3,2024-04-12 20:24:05.479267,0.6818453900755485
Baseline,ResNet50,pixelate_3,2024-04-12 20:24:07.852520,0.9302637292457704
Baseline,ResNet50,saturate_3,2024-04-12 20:24:10.171397,0.9548833343643708
Baseline,ResNet50,shot_noise_3,2024-04-12 20:24:12.513383,0.8297474744891215
Baseline,ResNet50,snow_3,2024-04-12 20:24:14.840338,0.7910565986009886
Baseline,ResNet50,spatter_3,2024-04-12 20:24:17.175906,0.783907329062374
Baseline,ResNet50,speckle_noise_3,2024-04-12 20:24:19.508070,0.8588751436977903
Baseline,ResNet50,zoom_blur_3,2024-04-12 20:24:21.837358,0.7477823989967513
Baseline,ResNet50,brightness_3,2024-04-12 20:33:33.671435,0.9709038473745426
Baseline,ResNet50,contrast_3,2024-04-12 20:33:36.929237,0.5970560145769059
Baseline,ResNet50,defocus_blur_3,2024-04-12 20:33:39.248745,0.9356435550877432
Baseline,ResNet50,elastic_3,2024-04-12 20:33:41.578439,0.8492823519770212
Baseline,ResNet50,fog_3,2024-04-12 20:33:43.902179,0.8144976343498204
Baseline,ResNet50,frost_3,2024-04-12 20:33:46.220191,0.8019602127540459
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 20:33:48.542129,0.8414886577200867
Baseline,ResNet50,gaussian_blur_3,2024-04-12 20:33:50.860973,0.8713140386751899
Baseline,ResNet50,gaussian_noise_3,2024-04-12 20:33:53.183971,0.8286516841718727
Baseline,ResNet50,impulse_noise_3,2024-04-12 20:33:55.494205,0.7933066794666539
Baseline,ResNet50,jpeg_compression_3,2024-04-12 20:33:57.820451,0.9511367371753384
Baseline,ResNet50,motion_blur_3,2024-04-12 20:34:00.152191,0.7403630741989586
Baseline,ResNet50,pixelate_3,2024-04-12 20:34:02.482763,0.9684784912975288
Baseline,ResNet50,saturate_3,2024-04-12 20:34:04.804380,0.9835916300004632
Baseline,ResNet50,shot_noise_3,2024-04-12 20:34:07.121392,0.8851912374513378
Baseline,ResNet50,snow_3,2024-04-12 20:34:09.430437,0.8547053519789545
Baseline,ResNet50,spatter_3,2024-04-12 20:34:11.740361,0.8447751933424563
Baseline,ResNet50,speckle_noise_3,2024-04-12 20:34:14.063607,0.9049430921957642
Baseline,ResNet50,zoom_blur_3,2024-04-12 20:34:16.381657,0.8453107211065813
Baseline,ResNet50,brightness_3,2024-04-12 20:45:33.704869,0.9731163825931932
Baseline,ResNet50,contrast_3,2024-04-12 20:45:36.980950,0.6549470610330351
Baseline,ResNet50,defocus_blur_3,2024-04-12 20:45:39.335373,0.9373020809820792
Baseline,ResNet50,elastic_3,2024-04-12 20:45:41.672974,0.856653449748045
Baseline,ResNet50,fog_3,2024-04-12 20:45:43.981908,0.8407210631757334
Baseline,ResNet50,frost_3,2024-04-12 20:45:46.306203,0.8303690214746993
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 20:45:48.617131,0.8409450885258524
Baseline,ResNet50,gaussian_blur_3,2024-04-12 20:45:50.930299,0.8737037722829356
Baseline,ResNet50,gaussian_noise_3,2024-04-12 20:45:53.263907,0.8571309457449585
Baseline,ResNet50,impulse_noise_3,2024-04-12 20:45:55.583999,0.7991322980920211
Baseline,ResNet50,jpeg_compression_3,2024-04-12 20:45:57.902073,0.9636629119467216
Baseline,ResNet50,motion_blur_3,2024-04-12 20:46:00.220173,0.7655881173646024
Baseline,ResNet50,pixelate_3,2024-04-12 20:46:02.537886,0.9737663200926626
Baseline,ResNet50,saturate_3,2024-04-12 20:46:04.860822,0.990898228143849
Baseline,ResNet50,shot_noise_3,2024-04-12 20:46:07.202220,0.9161834760353234
Baseline,ResNet50,snow_3,2024-04-12 20:46:09.524675,0.8528223180359147
Baseline,ResNet50,spatter_3,2024-04-12 20:46:11.854310,0.8418807963300445
Baseline,ResNet50,speckle_noise_3,2024-04-12 20:46:14.177491,0.942462610389153
Baseline,ResNet50,zoom_blur_3,2024-04-12 20:46:16.501929,0.8397277143227692
Baseline,ResNet50,brightness_3,2024-04-12 20:56:06.279596,0.9333277760711256
Baseline,ResNet50,contrast_3,2024-04-12 20:56:09.551741,0.545271175786018
Baseline,ResNet50,defocus_blur_3,2024-04-12 20:56:11.891426,0.9417775687866898
Baseline,ResNet50,elastic_3,2024-04-12 20:56:14.217562,0.8498343273718325
Baseline,ResNet50,fog_3,2024-04-12 20:56:16.822189,0.7944115275072066
Baseline,ResNet50,frost_3,2024-04-12 20:56:19.173257,0.7511877008812192
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 20:56:21.527461,0.8089828052389402
Baseline,ResNet50,gaussian_blur_3,2024-04-12 20:56:23.892004,0.88723759508411
Baseline,ResNet50,gaussian_noise_3,2024-04-12 20:56:26.263705,0.7785500434883874
Baseline,ResNet50,impulse_noise_3,2024-04-12 20:56:28.620000,0.7272020380643298
Baseline,ResNet50,jpeg_compression_3,2024-04-12 20:56:30.973408,0.9335931068372404
Baseline,ResNet50,motion_blur_3,2024-04-12 20:56:33.323409,0.7473599372025099
Baseline,ResNet50,pixelate_3,2024-04-12 20:56:35.662911,0.9636818028258743
Baseline,ResNet50,saturate_3,2024-04-12 20:56:38.006962,0.9626784856616728
Baseline,ResNet50,shot_noise_3,2024-04-12 20:56:40.373531,0.8488213461030286
Baseline,ResNet50,snow_3,2024-04-12 20:56:42.733298,0.8185058296182735
Baseline,ResNet50,spatter_3,2024-04-12 20:56:45.085612,0.7990978857261123
Baseline,ResNet50,speckle_noise_3,2024-04-12 20:56:47.436329,0.8787507836139572
Baseline,ResNet50,zoom_blur_3,2024-04-12 20:56:49.779918,0.8334915041769436
Baseline,ResNet50,brightness_3,2024-04-12 21:08:45.254923,0.95757287932393
Baseline,ResNet50,contrast_3,2024-04-12 21:08:47.594324,0.5873911906056927
Baseline,ResNet50,defocus_blur_3,2024-04-12 21:08:49.936137,0.9188686601765752
Baseline,ResNet50,elastic_3,2024-04-12 21:08:52.379122,0.832621544733111
Baseline,ResNet50,fog_3,2024-04-12 21:08:54.832390,0.798779150921306
Baseline,ResNet50,frost_3,2024-04-12 21:08:57.322579,0.8080125117659268
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 21:08:59.832817,0.8401827231359263
Baseline,ResNet50,gaussian_blur_3,2024-04-12 21:09:02.287836,0.8419741868671874
Baseline,ResNet50,gaussian_noise_3,2024-04-12 21:09:04.737097,0.8302002314308863
Baseline,ResNet50,impulse_noise_3,2024-04-12 21:09:07.173782,0.7731562735682418
