Approach,Model,Corruption Type,Date,Fscore
Baseline,ResNet50,brightness_3,2024-04-12 00:10:18.545253,0.6657264591108895
Baseline,ResNet50,contrast_3,2024-04-12 00:10:21.024328,0.3454857856322659
Baseline,ResNet50,defocus_blur_3,2024-04-12 00:10:23.396257,0.637891094749841
Baseline,ResNet50,elastic_3,2024-04-12 00:10:25.798863,0.5952375832649018
Baseline,ResNet50,fog_3,2024-04-12 00:10:28.156194,0.4902002744626493
Baseline,ResNet50,frost_3,2024-04-12 00:10:30.518637,0.465983276020157
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 00:10:32.873544,0.6134640983386392
Baseline,ResNet50,gaussian_blur_3,2024-04-12 00:10:35.234344,0.581346389980463
Baseline,ResNet50,gaussian_noise_3,2024-04-12 00:10:37.618813,0.5918044520269822
Baseline,ResNet50,impulse_noise_3,2024-04-12 00:10:40.076878,0.5564719914610388
Baseline,ResNet50,jpeg_compression_3,2024-04-12 00:10:42.485339,0.7073403967627889
Baseline,ResNet50,motion_blur_3,2024-04-12 00:10:44.849460,0.4726771833294899
Baseline,ResNet50,pixelate_3,2024-04-12 00:10:47.224088,0.7323244323168447
Baseline,ResNet50,saturate_3,2024-04-12 00:10:49.604695,0.7354278030631475
Baseline,ResNet50,shot_noise_3,2024-04-12 00:10:52.147831,0.6577304167772019
Baseline,ResNet50,snow_3,2024-04-12 00:10:54.548479,0.5850587242357067
Baseline,ResNet50,spatter_3,2024-04-12 00:10:56.934132,0.6037315620055101
Baseline,ResNet50,speckle_noise_3,2024-04-12 00:10:59.308774,0.6914666818860458
Baseline,ResNet50,zoom_blur_3,2024-04-12 00:11:01.677728,0.5687163279363798
Baseline,ResNet50,brightness_3,2024-04-12 00:19:32.516431,0.708430909722858
Baseline,ResNet50,contrast_3,2024-04-12 00:19:34.874308,0.2887947206146852
Baseline,ResNet50,defocus_blur_3,2024-04-12 00:19:37.231017,0.6744856299392662
Baseline,ResNet50,elastic_3,2024-04-12 00:19:39.582980,0.6241986613230761
Baseline,ResNet50,fog_3,2024-04-12 00:19:41.927668,0.5206343285121787
Baseline,ResNet50,frost_3,2024-04-12 00:19:44.284421,0.4778687514813176
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 00:19:46.652530,0.6326328638240464
Baseline,ResNet50,gaussian_blur_3,2024-04-12 00:19:49.000585,0.5939067594920344
Baseline,ResNet50,gaussian_noise_3,2024-04-12 00:19:51.346960,0.6336191757864487
