Approach,Model,Corruption Type,Date,Training Time,Fscore
Baseline,ResNet50,in-sample,2024-04-16 19:40:35.008630,415.3196141719818,0.5418858982255429
Baseline,ResNet50,brightness_3,2024-04-16 19:40:37.892972,415.3196141719818,0.5048770235446906
Baseline,ResNet50,contrast_3,2024-04-16 19:40:40.260545,415.3196141719818,0.1189938239298822
Baseline,ResNet50,defocus_blur_3,2024-04-16 19:40:42.611236,415.3196141719818,0.4427135219428649
Baseline,ResNet50,elastic_3,2024-04-16 19:40:44.963453,415.3196141719818,0.434992198289405
Baseline,ResNet50,fog_3,2024-04-16 19:40:47.296196,415.3196141719818,0.2808119943711945
Baseline,ResNet50,frost_3,2024-04-16 19:40:49.644003,415.3196141719818,0.3929142002482438
Baseline,ResNet50,frosted_glass_blur_3,2024-04-16 19:40:51.985726,415.3196141719818,0.4803578310550902
Baseline,ResNet50,gaussian_blur_3,2024-04-16 19:40:54.337414,415.3196141719818,0.3972152651669786
Baseline,ResNet50,gaussian_noise_3,2024-04-16 19:40:56.678102,415.3196141719818,0.4664619426043744
Baseline,ResNet50,impulse_noise_3,2024-04-16 19:40:58.995172,415.3196141719818,0.4493907386628379
Baseline,ResNet50,jpeg_compression_3,2024-04-16 19:41:01.349600,415.3196141719818,0.53451404513942
Baseline,ResNet50,motion_blur_3,2024-04-16 19:41:03.692559,415.3196141719818,0.3313574538771756
Baseline,ResNet50,pixelate_3,2024-04-16 19:41:06.019407,415.3196141719818,0.529540051357657
Baseline,ResNet50,saturate_3,2024-04-16 19:41:08.345536,415.3196141719818,0.5354847259254596
Baseline,ResNet50,shot_noise_3,2024-04-16 19:41:10.668895,415.3196141719818,0.5061163669245705
Baseline,ResNet50,snow_3,2024-04-16 19:41:12.990231,415.3196141719818,0.482552536997691
Baseline,ResNet50,spatter_3,2024-04-16 19:41:15.342193,415.3196141719818,0.4992781562812475
Baseline,ResNet50,speckle_noise_3,2024-04-16 19:41:17.670347,415.3196141719818,0.5123928287403404
Baseline,ResNet50,zoom_blur_3,2024-04-16 19:41:20.016161,415.3196141719818,0.3959052496297309
Baseline,ResNet50,in-sample,2024-04-16 19:55:48.546139,864.0107190608978,0.6605191535325259
Baseline,ResNet50,brightness_3,2024-04-16 19:55:51.432182,864.0107190608978,0.6162967912602607
Baseline,ResNet50,contrast_3,2024-04-16 19:55:53.776623,864.0107190608978,0.2970038156444837
Baseline,ResNet50,defocus_blur_3,2024-04-16 19:55:56.183371,864.0107190608978,0.5940753472956012
Baseline,ResNet50,elastic_3,2024-04-16 19:55:58.608120,864.0107190608978,0.5679342298058155
Baseline,ResNet50,fog_3,2024-04-16 19:56:00.961664,864.0107190608978,0.4728137039186116
Baseline,ResNet50,frost_3,2024-04-16 19:56:03.316622,864.0107190608978,0.4724566597593821
Baseline,ResNet50,frosted_glass_blur_3,2024-04-16 19:56:05.673513,864.0107190608978,0.5917978478000521
Baseline,ResNet50,gaussian_blur_3,2024-04-16 19:56:08.022242,864.0107190608978,0.5542913556734803
Baseline,ResNet50,gaussian_noise_3,2024-04-16 19:56:10.359556,864.0107190608978,0.5883670468487942
Baseline,ResNet50,impulse_noise_3,2024-04-16 19:56:12.721623,864.0107190608978,0.5617225451870127
Baseline,ResNet50,jpeg_compression_3,2024-04-16 19:56:15.067355,864.0107190608978,0.639685415907128
Baseline,ResNet50,motion_blur_3,2024-04-16 19:56:17.421111,864.0107190608978,0.5170826105835573
Baseline,ResNet50,pixelate_3,2024-04-16 19:56:19.761898,864.0107190608978,0.6339203469816048
Baseline,ResNet50,saturate_3,2024-04-16 19:56:22.111432,864.0107190608978,0.651620876761452
Baseline,ResNet50,shot_noise_3,2024-04-16 19:56:24.508202,864.0107190608978,0.6282155161664646
Baseline,ResNet50,snow_3,2024-04-16 19:56:26.885356,864.0107190608978,0.563643692986121
Baseline,ResNet50,spatter_3,2024-04-16 19:56:29.236672,864.0107190608978,0.5708962597217937
Baseline,ResNet50,speckle_noise_3,2024-04-16 19:56:31.572603,864.0107190608978,0.6372671459916714
Baseline,ResNet50,zoom_blur_3,2024-04-16 19:56:33.913630,864.0107190608978,0.5404240606106302
Baseline,ResNet50,in-sample,2024-04-16 20:06:15.161813,576.2514748573303,0.6289931098886518
Baseline,ResNet50,brightness_3,2024-04-16 20:06:18.071738,576.2514748573303,0.5441091028876961
Baseline,ResNet50,contrast_3,2024-04-16 20:06:20.437248,576.2514748573303,0.2779032208700109
Baseline,ResNet50,defocus_blur_3,2024-04-16 20:06:22.781084,576.2514748573303,0.6052973184319461
Baseline,ResNet50,elastic_3,2024-04-16 20:06:25.135197,576.2514748573303,0.572269721905538
Baseline,ResNet50,fog_3,2024-04-16 20:06:27.535735,576.2514748573303,0.451053543010806
