,Approach,Corruption Type,Date,Fscore,Model
0,Baseline,brightness,2024-04-08 19:38:10.873126,0.6254688691940553,ResNet50
1,Baseline,contrast,2024-04-08 19:38:13.253515,0.2828184634024088,ResNet50
2,Baseline,defocus blur,2024-04-08 19:38:15.595836,0.551364052846887,ResNet50
3,Baseline,elastic,2024-04-08 19:38:17.933505,0.5258789082165566,ResNet50
4,Baseline,fog,2024-04-08 19:38:20.259198,0.4230157322133603,ResNet50
5,Baseline,frost,2024-04-08 19:38:22.593083,0.5023513941003336,ResNet50
6,Baseline,frosted glass blur,2024-04-08 19:38:24.932410,0.5792947175463853,ResNet50
7,Baseline,gaussian blur,2024-04-08 19:38:27.271401,0.4993073377416369,ResNet50
8,Baseline,gaussian noise,2024-04-08 19:38:29.612077,0.5766708079128986,ResNet50
9,Baseline,impulse noise,2024-04-08 19:38:31.936066,0.5412393589777447,ResNet50
10,Baseline,jpeg compression,2024-04-08 19:38:34.272303,0.6388330053303655,ResNet50
11,Baseline,motion blur,2024-04-08 19:38:36.618753,0.4322496737433643,ResNet50
12,Baseline,pixelate,2024-04-08 19:38:38.963699,0.6322317950823804,ResNet50
13,Baseline,saturate,2024-04-08 19:38:41.314805,0.6512168720076243,ResNet50
14,Baseline,shot noise,2024-04-08 19:38:43.656249,0.6035900925541122,ResNet50
15,Baseline,snow,2024-04-08 19:38:45.994657,0.5597286652466255,ResNet50
16,Baseline,spatter,2024-04-08 19:38:48.322121,0.5826399060108555,ResNet50
17,Baseline,speckle noise,2024-04-08 19:38:50.670294,0.6157139133667984,ResNet50
18,Baseline,zoom blur,2024-04-08 19:38:52.997264,0.4958246209184073,ResNet50
19,Baseline,brightness,2024-04-08 19:47:20.172298,0.6017734179186152,ResNet50
20,Baseline,contrast,2024-04-08 19:47:22.516629,0.264975638914776,ResNet50
21,Baseline,defocus blur,2024-04-08 19:47:24.841497,0.5842612496124967,ResNet50
22,Baseline,elastic,2024-04-08 19:47:27.174473,0.5418361500853265,ResNet50
23,Baseline,fog,2024-04-08 19:47:29.498065,0.4169667413847874,ResNet50
24,Baseline,frost,2024-04-08 19:47:31.816617,0.3563908013074925,ResNet50
25,Baseline,frosted glass blur,2024-04-08 19:47:34.167640,0.5949373240072537,ResNet50
26,Baseline,gaussian blur,2024-04-08 19:47:36.518712,0.5106761078649064,ResNet50
27,Baseline,gaussian noise,2024-04-08 19:47:38.846647,0.6503694149966931,ResNet50
28,Baseline,impulse noise,2024-04-08 19:47:41.194240,0.6228653307373752,ResNet50
29,Baseline,jpeg compression,2024-04-08 19:47:43.536649,0.6907841057140701,ResNet50
30,Baseline,motion blur,2024-04-08 19:47:45.869448,0.4144412573739259,ResNet50
31,Baseline,pixelate,2024-04-08 19:47:48.188786,0.6834105612018283,ResNet50
32,Baseline,saturate,2024-04-08 19:47:50.536169,0.7280842357895149,ResNet50
33,Baseline,shot noise,2024-04-08 19:47:52.862933,0.6882708419701238,ResNet50
34,Baseline,snow,2024-04-08 19:47:55.201012,0.5933304818589583,ResNet50
35,Baseline,spatter,2024-04-08 19:47:57.540167,0.626194528708798,ResNet50
36,Baseline,speckle noise,2024-04-08 19:47:59.854809,0.6906368906762651,ResNet50
37,Baseline,zoom blur,2024-04-08 19:48:02.180783,0.5104219446408517,ResNet50
38,Baseline,brightness,2024-04-08 19:55:09.405327,0.7270185052638043,ResNet50
39,Baseline,contrast,2024-04-08 19:55:11.732029,0.3785624709396801,ResNet50
40,Baseline,defocus blur,2024-04-08 19:55:14.068362,0.6863695266285861,ResNet50
41,Baseline,elastic,2024-04-08 19:55:16.398858,0.629427609090397,ResNet50
42,Baseline,fog,2024-04-08 19:55:18.728550,0.5471339441674197,ResNet50
43,Baseline,frost,2024-04-08 19:55:21.119026,0.5442001615201798,ResNet50
44,Baseline,frosted glass blur,2024-04-08 19:55:23.470733,0.6746334801316296,ResNet50
45,Baseline,gaussian blur,2024-04-08 19:55:25.795686,0.6220642390499395,ResNet50
46,Baseline,gaussian noise,2024-04-08 19:55:28.106667,0.6666355423877477,ResNet50
47,Baseline,impulse noise,2024-04-08 19:55:30.440121,0.6313014042034453,ResNet50
48,Baseline,jpeg compression,2024-04-08 19:55:32.772264,0.7623854469032727,ResNet50
49,Baseline,motion blur,2024-04-08 19:55:35.109504,0.4595921123953247,ResNet50
50,Baseline,pixelate,2024-04-08 19:55:37.442600,0.7633525247704693,ResNet50
51,Baseline,saturate,2024-04-08 19:55:39.781726,0.7758593092042292,ResNet50
52,Baseline,shot noise,2024-04-08 19:55:42.104345,0.7154422296415239,ResNet50
53,Baseline,snow,2024-04-08 19:55:44.464621,0.6791493966025042,ResNet50
54,Baseline,spatter,2024-04-08 19:55:46.803871,0.6675614432273871,ResNet50
55,Baseline,speckle noise,2024-04-08 19:55:49.129993,0.7353900422727735,ResNet50
56,Baseline,zoom blur,2024-04-08 19:55:51.476350,0.6062372586016103,ResNet50
57,Baseline,brightness,2024-04-08 20:04:16.220237,0.7822247724996588,ResNet50
58,Baseline,contrast,2024-04-08 20:04:19.501724,0.4347668434477558,ResNet50
59,Baseline,defocus blur,2024-04-08 20:04:21.824846,0.779134736460344,ResNet50
