,Approach,Corruption Type,Date,Fscore,Model
0,Baseline,brightness,2024-04-09 00:42:46.075422,0.8670027056296277,Xception
1,Baseline,contrast,2024-04-09 00:42:48.906657,0.6369283531226527,Xception
2,Baseline,defocus blur,2024-04-09 00:42:51.608095,0.7641383704873501,Xception
3,Baseline,elastic,2024-04-09 00:42:54.300781,0.7126490419655213,Xception
4,Baseline,fog,2024-04-09 00:42:57.006453,0.7782321351268349,Xception
5,Baseline,frost,2024-04-09 00:42:59.757265,0.6556438571994926,Xception
6,Baseline,frosted glass blur,2024-04-09 00:43:02.484411,0.6844401437590386,Xception
7,Baseline,gaussian blur,2024-04-09 00:43:05.174500,0.6690538006914367,Xception
8,Baseline,gaussian noise,2024-04-09 00:43:07.862551,0.6059866841347697,Xception
9,Baseline,impulse noise,2024-04-09 00:43:10.584124,0.6348091407341798,Xception
10,Baseline,jpeg compression,2024-04-09 00:43:13.279366,0.8206910932864948,Xception
11,Baseline,motion blur,2024-04-09 00:43:16.003681,0.6053374354785519,Xception
12,Baseline,pixelate,2024-04-09 00:43:18.735907,0.8273876044876098,Xception
13,Baseline,saturate,2024-04-09 00:43:21.451959,0.8948182823042504,Xception
14,Baseline,shot noise,2024-04-09 00:43:24.149767,0.6749812089207603,Xception
15,Baseline,snow,2024-04-09 00:43:26.844291,0.7476604236813502,Xception
16,Baseline,spatter,2024-04-09 00:43:29.544396,0.7337987522348675,Xception
17,Baseline,speckle noise,2024-04-09 00:43:32.258744,0.7104306801019077,Xception
18,Baseline,zoom blur,2024-04-09 00:43:34.969543,0.6423067754932962,Xception
19,Baseline,brightness,2024-04-09 00:56:36.739198,0.93799158556323,Xception
20,Baseline,contrast,2024-04-09 00:56:40.396450,0.7409714210609253,Xception
21,Baseline,defocus blur,2024-04-09 00:56:43.137633,0.8776731907103009,Xception
22,Baseline,elastic,2024-04-09 00:56:45.858103,0.8077191244150598,Xception
23,Baseline,fog,2024-04-09 00:56:48.588501,0.8890168271861534,Xception
24,Baseline,frost,2024-04-09 00:56:51.313228,0.7621397166528932,Xception
25,Baseline,frosted glass blur,2024-04-09 00:56:54.037106,0.6527370850396703,Xception
26,Baseline,gaussian blur,2024-04-09 00:56:56.758564,0.7785029795396421,Xception
27,Baseline,gaussian noise,2024-04-09 00:56:59.470192,0.6023926801490069,Xception
28,Baseline,impulse noise,2024-04-09 00:57:02.193439,0.6459271693011654,Xception
29,Baseline,jpeg compression,2024-04-09 00:57:04.897807,0.8610205031638527,Xception
30,Baseline,motion blur,2024-04-09 00:57:07.660001,0.6996250843632719,Xception
31,Baseline,pixelate,2024-04-09 00:57:10.351368,0.8269193697452403,Xception
32,Baseline,saturate,2024-04-09 00:57:13.078857,0.9403874045963876,Xception
33,Baseline,shot noise,2024-04-09 00:57:15.803413,0.6776722920117004,Xception
34,Baseline,snow,2024-04-09 00:57:18.514399,0.7774703653481484,Xception
35,Baseline,spatter,2024-04-09 00:57:21.196751,0.7684122072258822,Xception
36,Baseline,speckle noise,2024-04-09 00:57:23.924741,0.7272519067309691,Xception
37,Baseline,zoom blur,2024-04-09 00:57:26.612038,0.7769119857864001,Xception
38,Baseline,brightness,2024-04-09 01:08:45.250112,0.9546239155800256,Xception
39,Baseline,contrast,2024-04-09 01:08:47.963810,0.7386385993965252,Xception
40,Baseline,defocus blur,2024-04-09 01:08:50.655098,0.8353411456492555,Xception
41,Baseline,elastic,2024-04-09 01:08:53.375168,0.7727276307311659,Xception
42,Baseline,fog,2024-04-09 01:08:56.075713,0.879488617104353,Xception
43,Baseline,frost,2024-04-09 01:08:58.813927,0.747376671922497,Xception
44,Baseline,frosted glass blur,2024-04-09 01:09:01.524024,0.6731244824223455,Xception
45,Baseline,gaussian blur,2024-04-09 01:09:04.252040,0.7074674979481425,Xception
46,Baseline,gaussian noise,2024-04-09 01:09:06.968679,0.6516615112517933,Xception
47,Baseline,impulse noise,2024-04-09 01:09:09.688998,0.7070716789872139,Xception
48,Baseline,jpeg compression,2024-04-09 01:09:12.411532,0.870082712796237,Xception
49,Baseline,motion blur,2024-04-09 01:09:15.124183,0.6260822005429736,Xception
50,Baseline,pixelate,2024-04-09 01:09:17.822683,0.8629494245777931,Xception
51,Baseline,saturate,2024-04-09 01:09:20.521284,0.9608303883763286,Xception
52,Baseline,shot noise,2024-04-09 01:09:23.218852,0.7305905980836218,Xception
53,Baseline,snow,2024-04-09 01:09:25.959258,0.8184498260411482,Xception
54,Baseline,spatter,2024-04-09 01:09:28.668228,0.8043913930300087,Xception
55,Baseline,speckle noise,2024-04-09 01:09:31.375445,0.7786524499990625,Xception
56,Baseline,zoom blur,2024-04-09 01:09:34.060379,0.715015178374739,Xception
57,Baseline,brightness,2024-04-09 01:22:36.605102,0.9711151423586946,Xception
58,Baseline,contrast,2024-04-09 01:22:40.264463,0.7870161394362547,Xception
59,Baseline,defocus blur,2024-04-09 01:22:42.939030,0.874569096286072,Xception
60,Baseline,elastic,2024-04-09 01:22:45.652878,0.8132312352359101,Xception
61,Baseline,fog,2024-04-09 01:22:48.366063,0.9052957498160362,Xception
62,Baseline,frost,2024-04-09 01:22:51.080853,0.7812466836655549,Xception
63,Baseline,frosted glass blur,2024-04-09 01:22:53.798783,0.6671023790596634,Xception
64,Baseline,gaussian blur,2024-04-09 01:22:56.504973,0.7617754255668149,Xception
65,Baseline,gaussian noise,2024-04-09 01:22:59.216567,0.6441058720652373,Xception
66,Baseline,impulse noise,2024-04-09 01:23:01.914021,0.6896257532660739,Xception
67,Baseline,jpeg compression,2024-04-09 01:23:04.617782,0.8876212619531263,Xception
68,Baseline,motion blur,2024-04-09 01:23:07.328749,0.7169344067434451,Xception
69,Baseline,pixelate,2024-04-09 01:23:10.037731,0.8807939051739326,Xception
