Approach,Model,Corruption Type,Date,Fscore
Baseline,ResNet50,brightness_3,2024-04-10 16:13:38.162315,0.6856949915965063
Baseline,ResNet50,contrast_3,2024-04-10 16:13:40.543557,0.3113372230278667
Baseline,ResNet50,defocus_blur_3,2024-04-10 16:13:42.897412,0.6915719718537074
Baseline,ResNet50,elastic_3,2024-04-10 16:13:45.245395,0.6285905603929399
Baseline,ResNet50,fog_3,2024-04-10 16:13:47.585964,0.4965523641623727
Baseline,ResNet50,frost_3,2024-04-10 16:13:49.926649,0.4661955620070689
Baseline,ResNet50,frosted_glass_blur_3,2024-04-10 16:13:52.259106,0.5926070692437991
Baseline,ResNet50,gaussian_blur_3,2024-04-10 16:13:54.607835,0.649501692538261
Baseline,ResNet50,gaussian_noise_3,2024-04-10 16:13:56.960855,0.6163195602678051
Baseline,ResNet50,impulse_noise_3,2024-04-10 16:13:59.294294,0.5879397007077665
Baseline,ResNet50,jpeg_compression_3,2024-04-10 16:14:01.636671,0.7089740019840698
Baseline,ResNet50,motion_blur_3,2024-04-10 16:14:03.983171,0.4934998202435409
Baseline,ResNet50,pixelate_3,2024-04-10 16:14:06.305437,0.7187905026123617
Baseline,ResNet50,saturate_3,2024-04-10 16:14:08.647600,0.7407637430280853
Baseline,ResNet50,shot_noise_3,2024-04-10 16:14:10.986980,0.6462032724927507
Baseline,ResNet50,snow_3,2024-04-10 16:14:13.311052,0.615952114135365
Baseline,ResNet50,spatter_3,2024-04-10 16:14:15.656845,0.6093458712391258
Baseline,ResNet50,speckle_noise_3,2024-04-10 16:14:17.997969,0.6590876320714297
Baseline,ResNet50,zoom_blur_3,2024-04-10 16:14:20.339126,0.6463422152462909
Baseline,ResNet50,brightness_3,2024-04-10 16:27:18.814568,0.9286704031457916
Baseline,ResNet50,contrast_3,2024-04-10 16:27:21.151867,0.5398622364573089
Baseline,ResNet50,defocus_blur_3,2024-04-10 16:27:23.491602,0.900893637355172
Baseline,ResNet50,elastic_3,2024-04-10 16:27:25.822797,0.8190337798415672
Baseline,ResNet50,fog_3,2024-04-10 16:27:28.156148,0.7639109600428663
Baseline,ResNet50,frost_3,2024-04-10 16:27:30.502295,0.7645986667557788
Baseline,ResNet50,frosted_glass_blur_3,2024-04-10 16:27:32.850501,0.8154917045496696
Baseline,ResNet50,gaussian_blur_3,2024-04-10 16:27:35.205830,0.8284626008833561
Baseline,ResNet50,gaussian_noise_3,2024-04-10 16:27:37.541752,0.8257265961717106
Baseline,ResNet50,impulse_noise_3,2024-04-10 16:27:39.895461,0.7828985293848608
Baseline,ResNet50,jpeg_compression_3,2024-04-10 16:27:42.224711,0.9307830532798486
Baseline,ResNet50,motion_blur_3,2024-04-10 16:27:44.574402,0.6775055301035827
Baseline,ResNet50,pixelate_3,2024-04-10 16:27:46.906442,0.9501819340132212
Baseline,ResNet50,saturate_3,2024-04-10 16:27:49.238102,0.9555163138431776
Baseline,ResNet50,shot_noise_3,2024-04-10 16:27:51.582609,0.8796939062483933
Baseline,ResNet50,snow_3,2024-04-10 16:27:53.915149,0.8359059401291956
Baseline,ResNet50,spatter_3,2024-04-10 16:27:56.249553,0.8203021384911946
Baseline,ResNet50,speckle_noise_3,2024-04-10 16:27:58.582066,0.9025198663033364
Baseline,ResNet50,zoom_blur_3,2024-04-10 16:28:00.923554,0.7956109847985113
Baseline,ResNet50,brightness_3,2024-04-10 16:35:49.466876,0.9465486417974665
Baseline,ResNet50,contrast_3,2024-04-10 16:35:52.725133,0.5324659409978919
Baseline,ResNet50,defocus_blur_3,2024-04-10 16:35:55.050681,0.915411538197878
Baseline,ResNet50,elastic_3,2024-04-10 16:35:57.382684,0.8231266065424917
Baseline,ResNet50,fog_3,2024-04-10 16:35:59.701963,0.7629044976313242
Baseline,ResNet50,frost_3,2024-04-10 16:36:02.039982,0.7664106601906859
Baseline,ResNet50,frosted_glass_blur_3,2024-04-10 16:36:04.375294,0.8196583872049323
Baseline,ResNet50,gaussian_blur_3,2024-04-10 16:36:06.710775,0.8512546575092909
Baseline,ResNet50,gaussian_noise_3,2024-04-10 16:36:09.065831,0.802690568982114
Baseline,ResNet50,impulse_noise_3,2024-04-10 16:36:11.413508,0.765320336673781
Baseline,ResNet50,jpeg_compression_3,2024-04-10 16:36:13.790872,0.932256360327764
Baseline,ResNet50,motion_blur_3,2024-04-10 16:36:16.111615,0.6764954902188111
Baseline,ResNet50,pixelate_3,2024-04-10 16:36:18.432105,0.9594601523602246
Baseline,ResNet50,saturate_3,2024-04-10 16:36:20.782520,0.9681943284769284
Baseline,ResNet50,shot_noise_3,2024-04-10 16:36:23.118422,0.8605896396630554
Baseline,ResNet50,snow_3,2024-04-10 16:36:25.458182,0.8335029553334374
Baseline,ResNet50,spatter_3,2024-04-10 16:36:27.798823,0.8108756022564563
